'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'993';'CRS3035RES200mN2052600E4261800';'LAEA200M_N10263E21309';'9.29298';'41.5727';'9.29537';'41.5728';'9.29535';'41.5746';'9.29296';'41.5746';'774683';'1486.11';'774683'
'1006';'CRS3035RES200mN2052800E4256600';'LAEA200M_N10264E21283';'9.23085';'41.5741';'9.23324';'41.5741';'9.23322';'41.5759';'9.23083';'41.5759';'445750';'3237.15';'445750'
'1008';'CRS3035RES200mN2052800E4261600';'LAEA200M_N10264E21308';'9.29057';'41.5745';'9.29296';'41.5746';'9.29294';'41.5764';'9.29055';'41.5763';'774683';'1206.86';'774683'
'1014';'CRS3035RES200mN2053000E4253600';'LAEA200M_N10265E21268';'9.19500';'41.5756';'9.19739';'41.5756';'9.19737';'41.5774';'9.19498';'41.5774';'666487';'2915.61';'1828622-666487'
'1022';'CRS3035RES200mN2053000E4260200';'LAEA200M_N10265E21301';'9.27383';'41.5762';'9.27622';'41.5762';'9.27619';'41.5780';'9.27381';'41.5780';'774683';'725.43';'774683-536956'
'1030';'CRS3035RES200mN2053200E4258800';'LAEA200M_N10266E21294';'9.25708';'41.5779';'9.25947';'41.5779';'9.25945';'41.5797';'9.25706';'41.5797';'445750';'1291.99';'445750'
'1031';'CRS3035RES200mN2053200E4259000';'LAEA200M_N10266E21295';'9.25947';'41.5779';'9.26186';'41.5779';'9.26184';'41.5797';'9.25945';'41.5797';'445750';'1200.51';'445750'
'1033';'CRS3035RES200mN2053200E4260200';'LAEA200M_N10266E21301';'9.27381';'41.5780';'9.27619';'41.5780';'9.27617';'41.5799';'9.27378';'41.5798';'774683';'564.1';'774683-536956'
'1041';'CRS3035RES200mN2053400E4254000';'LAEA200M_N10267E21270';'9.19973';'41.5793';'9.20212';'41.5793';'9.20210';'41.5811';'9.19971';'41.5811';'666487';'3392.59';'1828622-666487'
'1046';'CRS3035RES200mN2053400E4258200';'LAEA200M_N10267E21291';'9.24990';'41.5797';'9.25229';'41.5797';'9.25226';'41.5815';'9.24987';'41.5815';'445750';'1558.79';'445750'
'1049';'CRS3035RES200mN2053400E4259000';'LAEA200M_N10267E21295';'9.25945';'41.5797';'9.26184';'41.5797';'9.26182';'41.5816';'9.25943';'41.5815';'445750';'1014.94';'445750'
