'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'730';'CRS3035RES200mN2049600E4254000';'LAEA200M_N10248E21270';'9.20018';'41.5449';'9.20257';'41.5449';'9.20254';'41.5468';'9.20015';'41.5467';'1828622';'4320.85';'774669-1828622-666487'
'731';'CRS3035RES200mN2049600E4254200';'LAEA200M_N10248E21271';'9.20257';'41.5449';'9.20495';'41.5450';'9.20493';'41.5468';'9.20254';'41.5468';'1828622';'4472.45';'774669-1828622-666487'
'736';'CRS3035RES200mN2049600E4259800';'LAEA200M_N10248E21299';'9.26941';'41.5455';'9.27180';'41.5455';'9.27178';'41.5473';'9.26939';'41.5473';'775252';'1114.61';'775252'
'737';'CRS3035RES200mN2049600E4260000';'LAEA200M_N10248E21300';'9.27180';'41.5455';'9.27419';'41.5455';'9.27417';'41.5473';'9.27178';'41.5473';'775252';'1004.37';'775252'
'739';'CRS3035RES200mN2049600E4261000';'LAEA200M_N10248E21305';'9.28374';'41.5456';'9.28613';'41.5456';'9.28610';'41.5474';'9.28372';'41.5474';'776421';'835.73';'775252-776421'
'740';'CRS3035RES200mN2049600E4261200';'LAEA200M_N10248E21306';'9.28613';'41.5456';'9.28851';'41.5456';'9.28849';'41.5474';'9.28610';'41.5474';'776421';'637.67';'775252-776421'
'748';'CRS3035RES200mN2049800E4259200';'LAEA200M_N10249E21296';'9.26223';'41.5472';'9.26462';'41.5472';'9.26460';'41.5490';'9.26221';'41.5490';'775252';'1669.78';'1922268-775252'
'749';'CRS3035RES200mN2049800E4259400';'LAEA200M_N10249E21297';'9.26462';'41.5472';'9.26700';'41.5472';'9.26698';'41.5491';'9.26460';'41.5490';'775252';'1524.41';'1922268-775252'
'751';'CRS3035RES200mN2049800E4259800';'LAEA200M_N10249E21299';'9.26939';'41.5473';'9.27178';'41.5473';'9.27176';'41.5491';'9.26937';'41.5491';'775252';'1279.19';'1922268-775252'
'752';'CRS3035RES200mN2049800E4261000';'LAEA200M_N10249E21305';'9.28372';'41.5474';'9.28610';'41.5474';'9.28608';'41.5492';'9.28370';'41.5492';'776421';'852.68';'775252-776421'
'759';'CRS3035RES200mN2050000E4251600';'LAEA200M_N10250E21258';'9.17148';'41.5483';'9.17387';'41.5483';'9.17384';'41.5501';'9.17146';'41.5501';'1828622';'2563.33';'1828622-666487'
