'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'898';'CRS3035RES200mN2051600E4257600';'LAEA200M_N10258E21288';'9.24293';'41.5633';'9.24532';'41.5634';'9.24530';'41.5652';'9.24291';'41.5651';'1922268';'2569.05';'1922268-445750'
'900';'CRS3035RES200mN2051600E4259000';'LAEA200M_N10258E21295';'9.25965';'41.5635';'9.26204';'41.5635';'9.26201';'41.5653';'9.25963';'41.5653';'1922268';'1182.26';'1922268'
'914';'CRS3035RES200mN2051800E4240600';'LAEA200M_N10259E21203';'9.03992';'41.5634';'9.04231';'41.5634';'9.04228';'41.5652';'9.03989';'41.5652';'1766847';'7390.82';'590337-273352-527817-773837-1676337-654206-1766847'
'925';'CRS3035RES200mN2051800E4260000';'LAEA200M_N10259E21300';'9.27157';'41.5654';'9.27395';'41.5654';'9.27393';'41.5672';'9.27154';'41.5672';'1922268';'387.84';'1922268'
'926';'CRS3035RES200mN2051800E4260200';'LAEA200M_N10259E21301';'9.27395';'41.5654';'9.27634';'41.5654';'9.27632';'41.5672';'9.27393';'41.5672';'1922268';'342.05';'1922268'
'927';'CRS3035RES200mN2051800E4260400';'LAEA200M_N10259E21302';'9.27634';'41.5654';'9.27873';'41.5654';'9.27871';'41.5672';'9.27632';'41.5672';'1922268';'360.41';'1922268'
'936';'CRS3035RES200mN2052000E4240400';'LAEA200M_N10260E21202';'9.03750';'41.5652';'9.03989';'41.5652';'9.03986';'41.5670';'9.03747';'41.5670';'654206';'7163.68';'590337-273352-527817-773837-1676337-654206-1766847'
'937';'CRS3035RES200mN2052000E4240600';'LAEA200M_N10260E21203';'9.03989';'41.5652';'9.04228';'41.5652';'9.04225';'41.5670';'9.03986';'41.5670';'1766847';'7200.21';'273352-1766847'
'940';'CRS3035RES200mN2052000E4255000';'LAEA200M_N10260E21275';'9.21184';'41.5667';'9.21423';'41.5667';'9.21420';'41.5685';'9.21182';'41.5685';'666487';'4285.82';'1828622-666487'
'941';'CRS3035RES200mN2052000E4255200';'LAEA200M_N10260E21276';'9.21423';'41.5667';'9.21661';'41.5667';'9.21659';'41.5686';'9.21420';'41.5685';'666487';'4481.95';'1828622-445750-666487'
'945';'CRS3035RES200mN2052000E4257400';'LAEA200M_N10260E21287';'9.24050';'41.5669';'9.24289';'41.5670';'9.24286';'41.5688';'9.24048';'41.5687';'1922268';'2816.53';'1922268-445750'
