'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'759';'CRS3035RES200mN2050000E4251600';'LAEA200M_N10250E21258';'9.17148';'41.5483';'9.17387';'41.5483';'9.17384';'41.5501';'9.17146';'41.5501';'1828622';'2563.33';'1828622-666487'
'763';'CRS3035RES200mN2050000E4259400';'LAEA200M_N10250E21297';'9.26460';'41.5490';'9.26698';'41.5491';'9.26696';'41.5509';'9.26457';'41.5508';'1922268';'1572.48';'1922268-775252'
'771';'CRS3035RES200mN2050200E4251400';'LAEA200M_N10251E21257';'9.16907';'41.5501';'9.17146';'41.5501';'9.17143';'41.5519';'9.16905';'41.5519';'1828622';'2306.59';'1828622-666487'
'776';'CRS3035RES200mN2050200E4257200';'LAEA200M_N10251E21286';'9.23831';'41.5506';'9.24070';'41.5507';'9.24068';'41.5525';'9.23829';'41.5525';'1922268';'3183.29';'1649513-1887994-1922268-2238743'
'791';'CRS3035RES200mN2050400E4257200';'LAEA200M_N10252E21286';'9.23829';'41.5525';'9.24068';'41.5525';'9.24065';'41.5543';'9.23827';'41.5543';'1922268';'3116.54';'1649513-1887994-1922268-2238743'
'792';'CRS3035RES200mN2050400E4257400';'LAEA200M_N10252E21287';'9.24068';'41.5525';'9.24306';'41.5525';'9.24304';'41.5543';'9.24065';'41.5543';'1922268';'2928.94';'1649513-1887994-1922268-2238743'
'794';'CRS3035RES200mN2050400E4258800';'LAEA200M_N10252E21294';'9.25739';'41.5526';'9.25978';'41.5526';'9.25976';'41.5544';'9.25737';'41.5544';'1922268';'1680.61';'1922268'
'795';'CRS3035RES200mN2050400E4259000';'LAEA200M_N10252E21295';'9.25978';'41.5526';'9.26216';'41.5526';'9.26214';'41.5544';'9.25976';'41.5544';'1922268';'1524.09';'1922268'
'802';'CRS3035RES200mN2050600E4230200';'LAEA200M_N10253E21151';'8.91593';'41.5513';'8.91832';'41.5513';'8.91829';'41.5531';'8.91590';'41.5531';'264648';'5001.18';'264648-1663201-774659-1676337'
'805';'CRS3035RES200mN2050600E4257200';'LAEA200M_N10253E21286';'9.23827';'41.5543';'9.24065';'41.5543';'9.24063';'41.5561';'9.23824';'41.5561';'1922268';'3060.47';'1649513-1887994-1922268-2238743'
'807';'CRS3035RES200mN2050600E4258800';'LAEA200M_N10253E21294';'9.25737';'41.5544';'9.25976';'41.5544';'9.25973';'41.5562';'9.25735';'41.5562';'1922268';'1573.89';'1922268'
