'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'708';'CRS3035RES200mN2049400E4253600';'LAEA200M_N10247E21268';'9.19543';'41.5431';'9.19781';'41.5431';'9.19779';'41.5449';'9.19540';'41.5449';'1828622';'4166.88';'1828622-666487'
'713';'CRS3035RES200mN2049400E4259600';'LAEA200M_N10247E21298';'9.26705';'41.5436';'9.26943';'41.5436';'9.26941';'41.5455';'9.26703';'41.5454';'775252';'1108.85';'775252'
'714';'CRS3035RES200mN2049400E4259800';'LAEA200M_N10247E21299';'9.26943';'41.5436';'9.27182';'41.5437';'9.27180';'41.5455';'9.26941';'41.5455';'775252';'961.73';'775252'
'717';'CRS3035RES200mN2049400E4261000';'LAEA200M_N10247E21305';'9.28376';'41.5437';'9.28615';'41.5438';'9.28613';'41.5456';'9.28374';'41.5456';'775252';'795.8';'775252-776421'
'718';'CRS3035RES200mN2049400E4261200';'LAEA200M_N10247E21306';'9.28615';'41.5438';'9.28853';'41.5438';'9.28851';'41.5456';'9.28613';'41.5456';'776421';'650.38';'775252-776421'
'722';'CRS3035RES200mN2049600E4224800';'LAEA200M_N10248E21124';'8.85164';'41.5415';'8.85402';'41.5415';'8.85399';'41.5434';'8.85160';'41.5433';'264648';'439.43';'264648'
'726';'CRS3035RES200mN2049600E4253200';'LAEA200M_N10248E21266';'9.19063';'41.5448';'9.19302';'41.5449';'9.19299';'41.5467';'9.19061';'41.5467';'1828622';'3748.63';'1828622-666487'
'727';'CRS3035RES200mN2049600E4253400';'LAEA200M_N10248E21267';'9.19302';'41.5449';'9.19540';'41.5449';'9.19538';'41.5467';'9.19299';'41.5467';'1828622';'3883.46';'1828622-666487'
'728';'CRS3035RES200mN2049600E4253600';'LAEA200M_N10248E21268';'9.19540';'41.5449';'9.19779';'41.5449';'9.19777';'41.5467';'9.19538';'41.5467';'1828622';'4025.46';'1828622-666487'
'729';'CRS3035RES200mN2049600E4253800';'LAEA200M_N10248E21269';'9.19779';'41.5449';'9.20018';'41.5449';'9.20015';'41.5467';'9.19777';'41.5467';'1828622';'4172.11';'1828622-666487'
'730';'CRS3035RES200mN2049600E4254000';'LAEA200M_N10248E21270';'9.20018';'41.5449';'9.20257';'41.5449';'9.20254';'41.5468';'9.20015';'41.5467';'1828622';'4320.85';'774669-1828622-666487'
