'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'260';'CRS3035RES200mN2035600E4252000';'LAEA200M_N10178E21260';'9.17799';'41.4182';'9.18037';'41.4182';'9.18035';'41.4200';'9.17796';'41.4200';'450868';'298.71';'450868'
'261';'CRS3035RES200mN2035600E4252200';'LAEA200M_N10178E21261';'9.18037';'41.4182';'9.18275';'41.4182';'9.18273';'41.4200';'9.18035';'41.4200';'450868';'427.25';'450868-1202301'
'262';'CRS3035RES200mN2035600E4252400';'LAEA200M_N10178E21262';'9.18275';'41.4182';'9.18513';'41.4182';'9.18511';'41.4200';'9.18273';'41.4200';'450868';'595.47';'450868-1202301'
'273';'CRS3035RES200mN2035800E4253200';'LAEA200M_N10179E21266';'9.19226';'41.4201';'9.19464';'41.4201';'9.19462';'41.4219';'9.19224';'41.4219';'1202301';'595.2';'1202301'
'284';'CRS3035RES200mN2036200E4253600';'LAEA200M_N10181E21268';'9.19698';'41.4238';'9.19936';'41.4238';'9.19934';'41.4256';'9.19695';'41.4256';'1202301';'838.65';'1202301'
'330';'CRS3035RES200mN2042200E4246600';'LAEA200M_N10211E21233';'9.11281';'41.4773';'9.11519';'41.4773';'9.11516';'41.4791';'9.11278';'41.4791';'2082473';'873.54';'2082473-1293725'
'339';'CRS3035RES200mN2042400E4246600';'LAEA200M_N10212E21233';'9.11278';'41.4791';'9.11516';'41.4791';'9.11514';'41.4809';'9.11275';'41.4809';'2082473';'972.85';'2082473-1293725'
'340';'CRS3035RES200mN2042400E4246800';'LAEA200M_N10212E21234';'9.11516';'41.4791';'9.11755';'41.4791';'9.11752';'41.4809';'9.11514';'41.4809';'1293725';'1071.35';'2082473-1293725'
'345';'CRS3035RES200mN2042600E4246400';'LAEA200M_N10213E21232';'9.11037';'41.4809';'9.11275';'41.4809';'9.11273';'41.4827';'9.11034';'41.4827';'2082473';'967.93';'2082473-1293725'
'353';'CRS3035RES200mN2042800E4242000';'LAEA200M_N10214E21210';'9.05787';'41.4822';'9.06026';'41.4822';'9.06023';'41.4840';'9.05785';'41.4840';'273352';'1570.15';'273352'
'354';'CRS3035RES200mN2042800E4242200';'LAEA200M_N10214E21211';'9.06026';'41.4822';'9.06264';'41.4823';'9.06262';'41.4841';'9.06023';'41.4840';'273352';'1610.15';'273352'
