'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'968';'CRS3035RES200mN2052400E4251000';'LAEA200M_N10262E21255';'9.16403';'41.5699';'9.16641';'41.5700';'9.16639';'41.5718';'9.16400';'41.5717';'666487';'290.92';'1828622-666487'
'974';'CRS3035RES200mN2052400E4255200';'LAEA200M_N10262E21276';'9.21418';'41.5703';'9.21657';'41.5704';'9.21655';'41.5722';'9.21416';'41.5722';'666487';'4465.92';'1828622-445750-666487'
'978';'CRS3035RES200mN2052400E4256000';'LAEA200M_N10262E21280';'9.22373';'41.5704';'9.22612';'41.5704';'9.22610';'41.5722';'9.22371';'41.5722';'445750';'3954.54';'445750'
'982';'CRS3035RES200mN2052600E4233400';'LAEA200M_N10263E21167';'8.95383';'41.5698';'8.95621';'41.5698';'8.95618';'41.5716';'8.95380';'41.5716';'1676337';'2071.81';'1676337'
'983';'CRS3035RES200mN2052600E4251000';'LAEA200M_N10263E21255';'9.16400';'41.5717';'9.16639';'41.5718';'9.16636';'41.5736';'9.16398';'41.5736';'666487';'304.23';'1828622-666487'
'984';'CRS3035RES200mN2052600E4251200';'LAEA200M_N10263E21256';'9.16639';'41.5718';'9.16878';'41.5718';'9.16875';'41.5736';'9.16636';'41.5736';'666487';'497.66';'1828622-666487'
'988';'CRS3035RES200mN2052600E4254800';'LAEA200M_N10263E21274';'9.20938';'41.5721';'9.21177';'41.5721';'9.21175';'41.5739';'9.20936';'41.5739';'666487';'4067.85';'1828622-666487'
'989';'CRS3035RES200mN2052600E4255000';'LAEA200M_N10263E21275';'9.21177';'41.5721';'9.21416';'41.5722';'9.21413';'41.5740';'9.21175';'41.5739';'666487';'4266.61';'1828622-666487'
'990';'CRS3035RES200mN2052600E4255200';'LAEA200M_N10263E21276';'9.21416';'41.5722';'9.21655';'41.5722';'9.21652';'41.5740';'9.21413';'41.5740';'666487';'4465.54';'1828622-445750-666487'
'991';'CRS3035RES200mN2052600E4256200';'LAEA200M_N10263E21281';'9.22610';'41.5722';'9.22849';'41.5723';'9.22847';'41.5741';'9.22608';'41.5741';'445750';'3679.55';'445750'
'993';'CRS3035RES200mN2052600E4261800';'LAEA200M_N10263E21309';'9.29298';'41.5727';'9.29537';'41.5728';'9.29535';'41.5746';'9.29296';'41.5746';'774683';'1486.11';'774683'
