'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1342';'CRS3035RES200mN2056000E4260200';'LAEA200M_N10280E21301';'9.27351';'41.6033';'9.27590';'41.6034';'9.27588';'41.6052';'9.27349';'41.6051';'1677017';'296.99';'1677017-2170308'
'1343';'CRS3035RES200mN2056000E4260400';'LAEA200M_N10280E21302';'9.27590';'41.6034';'9.27829';'41.6034';'9.27827';'41.6052';'9.27588';'41.6052';'2170308';'337.03';'1677017-1748411-2170308-510317'
'1344';'CRS3035RES200mN2056000E4260600';'LAEA200M_N10280E21303';'9.27829';'41.6034';'9.28068';'41.6034';'9.28066';'41.6052';'9.27827';'41.6052';'2170308';'407.08';'1677017-1748411-2170308-510317'
'1353';'CRS3035RES200mN2056200E4257200';'LAEA200M_N10281E21286';'9.23764';'41.6049';'9.24003';'41.6049';'9.24001';'41.6067';'9.23762';'41.6067';'1677017';'2785.72';'1677017-445750'
'1362';'CRS3035RES200mN2056400E4260600';'LAEA200M_N10282E21303';'9.27824';'41.6070';'9.28063';'41.6070';'9.28061';'41.6088';'9.27822';'41.6088';'510317';'167.03';'1748411-510317'
'1367';'CRS3035RES200mN2056600E4260400';'LAEA200M_N10283E21302';'9.27583';'41.6088';'9.27822';'41.6088';'9.27820';'41.6106';'9.27581';'41.6106';'510317';'272.45';'1748411-510317'
'1368';'CRS3035RES200mN2056600E4260600';'LAEA200M_N10283E21303';'9.27822';'41.6088';'9.28061';'41.6088';'9.28059';'41.6106';'9.27820';'41.6106';'510317';'84.23';'1748411-510317'
'1377';'CRS3035RES200mN2056800E4253600';'LAEA200M_N10284E21268';'9.19455';'41.6100';'9.19694';'41.6100';'9.19692';'41.6118';'9.19453';'41.6118';'1677021';'4492.1';'2214064-1677021'
'1380';'CRS3035RES200mN2056800E4259000';'LAEA200M_N10284E21295';'9.25908';'41.6105';'9.26147';'41.6105';'9.26145';'41.6123';'9.25906';'41.6123';'1677017';'1437.66';'1677017'
'1381';'CRS3035RES200mN2056800E4259200';'LAEA200M_N10284E21296';'9.26147';'41.6105';'9.26386';'41.6105';'9.26384';'41.6123';'9.26145';'41.6123';'1677017';'1312.16';'1677017-2170308'
'1382';'CRS3035RES200mN2056800E4259400';'LAEA200M_N10284E21297';'9.26386';'41.6105';'9.26625';'41.6105';'9.26623';'41.6123';'9.26384';'41.6123';'1677017';'1206.53';'1677017-1748411-2170308-510317'
