'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1466';'CRS3035RES200mN2057800E4234600';'LAEA200M_N10289E21173';'8.96737';'41.6169';'8.96976';'41.6169';'8.96973';'41.6187';'8.96734';'41.6187';'590337';'21.74';'590337-1999882'
'1467';'CRS3035RES200mN2057800E4234800';'LAEA200M_N10289E21174';'8.96976';'41.6169';'8.97215';'41.6170';'8.97212';'41.6188';'8.96973';'41.6187';'590337';'100.17';'590337-1999882'
'1468';'CRS3035RES200mN2057800E4235000';'LAEA200M_N10289E21175';'8.97215';'41.6170';'8.97454';'41.6170';'8.97451';'41.6188';'8.97212';'41.6188';'590337';'297.69';'590337-1999882-773837-654206'
'1469';'CRS3035RES200mN2057800E4235200';'LAEA200M_N10289E21176';'8.97454';'41.6170';'8.97693';'41.6170';'8.97690';'41.6188';'8.97451';'41.6188';'590337';'495.7';'590337-1999882-773837-654206'
'1470';'CRS3035RES200mN2057800E4235400';'LAEA200M_N10289E21177';'8.97693';'41.6170';'8.97932';'41.6170';'8.97929';'41.6188';'8.97690';'41.6188';'654206';'458.11';'773837-654206'
'1473';'CRS3035RES200mN2057800E4236200';'LAEA200M_N10289E21181';'8.98649';'41.6171';'8.98888';'41.6171';'8.98885';'41.6189';'8.98646';'41.6189';'654206';'826.99';'773837-654206'
'1474';'CRS3035RES200mN2057800E4236400';'LAEA200M_N10289E21182';'8.98888';'41.6171';'8.99127';'41.6172';'8.99124';'41.6190';'8.98885';'41.6189';'654206';'998.38';'773837-654206'
'1475';'CRS3035RES200mN2057800E4236600';'LAEA200M_N10289E21183';'8.99127';'41.6172';'8.99366';'41.6172';'8.99363';'41.6190';'8.99124';'41.6190';'654206';'1180.65';'773837-654206'
'1481';'CRS3035RES200mN2057800E4255400';'LAEA200M_N10289E21277';'9.21595';'41.6192';'9.21834';'41.6192';'9.21832';'41.6210';'9.21593';'41.6210';'1677021';'4019.48';'2214064-1677021'
'1487';'CRS3035RES200mN2057800E4258200';'LAEA200M_N10289E21291';'9.24941';'41.6194';'9.25180';'41.6194';'9.25178';'41.6213';'9.24939';'41.6212';'586337';'2587.38';'586337-2170308-510317-1677017-1748411'
'1488';'CRS3035RES200mN2057800E4258400';'LAEA200M_N10289E21292';'9.25180';'41.6194';'9.25419';'41.6195';'9.25417';'41.6213';'9.25178';'41.6213';'586337';'2408.35';'586337-2170308-510317-1677017-1748411'
