'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'403';'CRS3035RES200mN2043800E4247200';'LAEA200M_N10219E21236';'9.11975';'41.4918';'9.12214';'41.4918';'9.12211';'41.4936';'9.11973';'41.4936';'1679074';'569.34';'1679074-1293725'
'404';'CRS3035RES200mN2043800E4253600';'LAEA200M_N10219E21268';'9.19609';'41.4925';'9.19847';'41.4925';'9.19845';'41.4943';'9.19606';'41.4943';'1719365';'3240.52';'1719365'
'406';'CRS3035RES200mN2044000E4241400';'LAEA200M_N10220E21207';'9.05055';'41.4930';'9.05294';'41.4930';'9.05291';'41.4948';'9.05053';'41.4948';'273352';'441.91';'273352'
'407';'CRS3035RES200mN2044000E4241600';'LAEA200M_N10220E21208';'9.05294';'41.4930';'9.05532';'41.4930';'9.05530';'41.4948';'9.05291';'41.4948';'273352';'357.5';'273352'
'408';'CRS3035RES200mN2044000E4241800';'LAEA200M_N10220E21209';'9.05532';'41.4930';'9.05771';'41.4931';'9.05768';'41.4949';'9.05530';'41.4948';'273352';'348.67';'273352'
'412';'CRS3035RES200mN2044000E4253800';'LAEA200M_N10220E21269';'9.19845';'41.4943';'9.20083';'41.4943';'9.20081';'41.4961';'9.19842';'41.4961';'774669';'3222.55';'774669-1719365'
'414';'CRS3035RES200mN2044200E4241800';'LAEA200M_N10221E21209';'9.05530';'41.4948';'9.05768';'41.4949';'9.05765';'41.4967';'9.05527';'41.4966';'273352';'149.72';'273352'
'431';'CRS3035RES200mN2044600E4241800';'LAEA200M_N10223E21209';'9.05524';'41.4985';'9.05763';'41.4985';'9.05760';'41.5003';'9.05521';'41.5003';'273352';'162.89';'273352'
'433';'CRS3035RES200mN2044600E4253200';'LAEA200M_N10223E21266';'9.19122';'41.4997';'9.19361';'41.4997';'9.19358';'41.5015';'9.19120';'41.5015';'774669';'3591.75';'1719365-774669'
'434';'CRS3035RES200mN2044600E4253400';'LAEA200M_N10223E21267';'9.19361';'41.4997';'9.19599';'41.4997';'9.19597';'41.5015';'9.19358';'41.5015';'774669';'3398.35';'1719365-774669'
'462';'CRS3035RES200mN2045200E4257800';'LAEA200M_N10226E21289';'9.24602';'41.5055';'9.24841';'41.5055';'9.24839';'41.5073';'9.24600';'41.5073';'774669';'980.4';'774669'
