'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1149';'CRS3035RES200mN2054400E4254200';'LAEA200M_N10272E21271';'9.20201';'41.5883';'9.20439';'41.5883';'9.20437';'41.5902';'9.20198';'41.5901';'666487';'3954.64';'1828622-666487'
'1150';'CRS3035RES200mN2054400E4254400';'LAEA200M_N10272E21272';'9.20439';'41.5883';'9.20678';'41.5884';'9.20676';'41.5902';'9.20437';'41.5902';'666487';'4132.59';'1828622-666487'
'1151';'CRS3035RES200mN2054400E4254600';'LAEA200M_N10272E21273';'9.20678';'41.5884';'9.20917';'41.5884';'9.20915';'41.5902';'9.20676';'41.5902';'666487';'4311.2';'1828622-666487'
'1158';'CRS3035RES200mN2054400E4259600';'LAEA200M_N10272E21298';'9.26651';'41.5888';'9.26890';'41.5888';'9.26888';'41.5906';'9.26649';'41.5906';'445750';'16.09';'445750'
'1159';'CRS3035RES200mN2054400E4259800';'LAEA200M_N10272E21299';'9.26890';'41.5888';'9.27129';'41.5889';'9.27127';'41.5907';'9.26888';'41.5906';'445750';'212.31';'774674-536956-445750'
'1160';'CRS3035RES200mN2054400E4260000';'LAEA200M_N10272E21300';'9.27129';'41.5889';'9.27368';'41.5889';'9.27366';'41.5907';'9.27127';'41.5907';'774674';'255.46';'774674-536956-774685-445750'
'1161';'CRS3035RES200mN2054400E4260200';'LAEA200M_N10272E21301';'9.27368';'41.5889';'9.27607';'41.5889';'9.27605';'41.5907';'9.27366';'41.5907';'774674';'64.12';'774674-536956-774685'
'1162';'CRS3035RES200mN2054400E4260400';'LAEA200M_N10272E21302';'9.27607';'41.5889';'9.27846';'41.5889';'9.27844';'41.5907';'9.27605';'41.5907';'774674';'56.42';'774674-536956-774685'
'1163';'CRS3035RES200mN2054400E4260600';'LAEA200M_N10272E21303';'9.27846';'41.5889';'9.28085';'41.5889';'9.28082';'41.5907';'9.27844';'41.5907';'774674';'246.09';'774674-2164058-774683-536956-774685'
'1164';'CRS3035RES200mN2054400E4260800';'LAEA200M_N10272E21304';'9.28085';'41.5889';'9.28323';'41.5889';'9.28321';'41.5908';'9.28082';'41.5907';'2164058';'232.0';'774674-2164058-774683-536956-774685'
'1176';'CRS3035RES200mN2054600E4233400';'LAEA200M_N10273E21167';'8.95352';'41.5878';'8.95591';'41.5879';'8.95588';'41.5897';'8.95349';'41.5897';'1676337';'190.28';'1676337'
