'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1382';'CRS3035RES200mN2056800E4259400';'LAEA200M_N10284E21297';'9.26386';'41.6105';'9.26625';'41.6105';'9.26623';'41.6123';'9.26384';'41.6123';'1677017';'1206.53';'1677017-1748411-2170308-510317'
'1383';'CRS3035RES200mN2056800E4260400';'LAEA200M_N10284E21302';'9.27581';'41.6106';'9.27820';'41.6106';'9.27818';'41.6124';'9.27579';'41.6124';'510317';'306.96';'1748411-510317'
'1384';'CRS3035RES200mN2056800E4260600';'LAEA200M_N10284E21303';'9.27820';'41.6106';'9.28059';'41.6106';'9.28057';'41.6124';'9.27818';'41.6124';'1748411';'149.57';'1748411-510317'
'1385';'CRS3035RES200mN2056800E4260800';'LAEA200M_N10284E21304';'9.28059';'41.6106';'9.28298';'41.6106';'9.28296';'41.6124';'9.28057';'41.6124';'1748411';'116.94';'1748411-510317'
'1387';'CRS3035RES200mN2056800E4261200';'LAEA200M_N10284E21306';'9.28537';'41.6107';'9.28776';'41.6107';'9.28774';'41.6125';'9.28535';'41.6125';'1748411';'423.24';'1748411-510317'
'1388';'CRS3035RES200mN2056800E4261400';'LAEA200M_N10284E21307';'9.28776';'41.6107';'9.29015';'41.6107';'9.29013';'41.6125';'9.28774';'41.6125';'1748411';'615.64';'1748411-510317'
'1392';'CRS3035RES200mN2057000E4227000';'LAEA200M_N10285E21135';'8.87668';'41.6087';'8.87907';'41.6087';'8.87903';'41.6105';'8.87664';'41.6105';'1421366';'4021.83';'1421366'
'1396';'CRS3035RES200mN2057000E4258600';'LAEA200M_N10285E21293';'9.25428';'41.6122';'9.25667';'41.6123';'9.25665';'41.6141';'9.25426';'41.6140';'1677017';'1859.42';'1677017'
'1401';'CRS3035RES200mN2057000E4260400';'LAEA200M_N10285E21302';'9.27579';'41.6124';'9.27818';'41.6124';'9.27816';'41.6142';'9.27577';'41.6142';'1748411';'432.25';'1748411-510317'
'1402';'CRS3035RES200mN2057000E4260600';'LAEA200M_N10285E21303';'9.27818';'41.6124';'9.28057';'41.6124';'9.28055';'41.6142';'9.27816';'41.6142';'1748411';'330.95';'1748411-510317'
'1403';'CRS3035RES200mN2057000E4260800';'LAEA200M_N10285E21304';'9.28057';'41.6124';'9.28296';'41.6124';'9.28294';'41.6143';'9.28055';'41.6142';'1748411';'318.35';'1748411-510317'
