'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1403';'CRS3035RES200mN2057000E4260800';'LAEA200M_N10285E21304';'9.28057';'41.6124';'9.28296';'41.6124';'9.28294';'41.6143';'9.28055';'41.6142';'1748411';'318.35';'1748411-510317'
'1407';'CRS3035RES200mN2057000E4262200';'LAEA200M_N10285E21311';'9.29730';'41.6125';'9.29969';'41.6126';'9.29967';'41.6144';'9.29728';'41.6144';'1748411';'1435.87';'1748411-510317'
'1418';'CRS3035RES200mN2057200E4257200';'LAEA200M_N10286E21286';'9.23753';'41.6139';'9.23992';'41.6139';'9.23990';'41.6157';'9.23751';'41.6157';'1677017';'3113.47';'1677017-445750'
'1420';'CRS3035RES200mN2057200E4258800';'LAEA200M_N10286E21294';'9.25665';'41.6141';'9.25904';'41.6141';'9.25902';'41.6159';'9.25663';'41.6159';'1677017';'1873.67';'1677017'
'1425';'CRS3035RES200mN2057200E4261800';'LAEA200M_N10286E21309';'9.29250';'41.6143';'9.29489';'41.6143';'9.29487';'41.6161';'9.29248';'41.6161';'1748411';'1127.77';'1748411-510317'
'1446';'CRS3035RES200mN2057600E4233000';'LAEA200M_N10288E21165';'8.94828';'41.6149';'8.95067';'41.6149';'8.95064';'41.6167';'8.94825';'41.6167';'590337';'1602.24';'590337-1999882'
'1450';'CRS3035RES200mN2057600E4258200';'LAEA200M_N10288E21291';'9.24944';'41.6176';'9.25183';'41.6176';'9.25180';'41.6194';'9.24941';'41.6194';'1677017';'2562.13';'1677017-586337'
'1456';'CRS3035RES200mN2057600E4262000';'LAEA200M_N10288E21310';'9.29485';'41.6180';'9.29724';'41.6180';'9.29722';'41.6198';'9.29483';'41.6198';'1748411';'1517.76';'1748411-510317'
'1458';'CRS3035RES200mN2057600E4262600';'LAEA200M_N10288E21313';'9.30202';'41.6180';'9.30441';'41.6180';'9.30439';'41.6198';'9.30200';'41.6198';'774695';'1815.39';'774695'
'1465';'CRS3035RES200mN2057800E4234400';'LAEA200M_N10289E21172';'8.96498';'41.6169';'8.96737';'41.6169';'8.96734';'41.6187';'8.96495';'41.6187';'590337';'202.11';'590337-1999882'
'1466';'CRS3035RES200mN2057800E4234600';'LAEA200M_N10289E21173';'8.96737';'41.6169';'8.96976';'41.6169';'8.96973';'41.6187';'8.96734';'41.6187';'590337';'21.74';'590337-1999882'
