'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'945';'CRS3035RES200mN2052000E4257400';'LAEA200M_N10260E21287';'9.24050';'41.5669';'9.24289';'41.5670';'9.24286';'41.5688';'9.24048';'41.5687';'1922268';'2816.53';'1922268-445750'
'949';'CRS3035RES200mN2052000E4259000';'LAEA200M_N10260E21295';'9.25960';'41.5671';'9.26199';'41.5671';'9.26197';'41.5689';'9.25958';'41.5689';'1922268';'1293.03';'1922268'
'950';'CRS3035RES200mN2052000E4259200';'LAEA200M_N10260E21296';'9.26199';'41.5671';'9.26438';'41.5671';'9.26436';'41.5689';'9.26197';'41.5689';'1922268';'1114.66';'1922268'
'952';'CRS3035RES200mN2052000E4259800';'LAEA200M_N10260E21299';'9.26916';'41.5671';'9.27154';'41.5672';'9.27152';'41.5690';'9.26914';'41.5690';'1922268';'662.37';'1922268'
'956';'CRS3035RES200mN2052200E4250600';'LAEA200M_N10261E21253';'9.15927';'41.5681';'9.16166';'41.5681';'9.16164';'41.5699';'9.15925';'41.5699';'1828622';'185.62';'1828622-666487'
'959';'CRS3035RES200mN2052200E4253200';'LAEA200M_N10261E21266';'9.19032';'41.5683';'9.19271';'41.5684';'9.19269';'41.5702';'9.19030';'41.5702';'666487';'2487.16';'1828622-666487'
'960';'CRS3035RES200mN2052200E4255000';'LAEA200M_N10261E21275';'9.21182';'41.5685';'9.21420';'41.5685';'9.21418';'41.5703';'9.21179';'41.5703';'666487';'4270.8';'1828622-666487'
'961';'CRS3035RES200mN2052200E4255200';'LAEA200M_N10261E21276';'9.21420';'41.5685';'9.21659';'41.5686';'9.21657';'41.5704';'9.21418';'41.5703';'666487';'4469.31';'1828622-445750-666487'
'962';'CRS3035RES200mN2052200E4255800';'LAEA200M_N10261E21279';'9.22137';'41.5686';'9.22376';'41.5686';'9.22373';'41.5704';'9.22135';'41.5704';'445750';'4224.96';'445750'
'967';'CRS3035RES200mN2052400E4250800';'LAEA200M_N10262E21254';'9.16164';'41.5699';'9.16403';'41.5699';'9.16400';'41.5717';'9.16161';'41.5717';'666487';'93.15';'1828622-666487'
'968';'CRS3035RES200mN2052400E4251000';'LAEA200M_N10262E21255';'9.16403';'41.5699';'9.16641';'41.5700';'9.16639';'41.5718';'9.16400';'41.5717';'666487';'290.92';'1828622-666487'
