'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'633';'CRS3035RES200mN2048200E4250600';'LAEA200M_N10241E21253';'9.15977';'41.5319';'9.16215';'41.5320';'9.16213';'41.5338';'9.15974';'41.5337';'2238917';'3551.11';'2238917-1828622-666487'
'649';'CRS3035RES200mN2048400E4261000';'LAEA200M_N10242E21305';'9.28386';'41.5347';'9.28625';'41.5347';'9.28623';'41.5365';'9.28384';'41.5365';'775252';'472.14';'775252'
'664';'CRS3035RES200mN2048800E4259000';'LAEA200M_N10244E21295';'9.25995';'41.5382';'9.26234';'41.5382';'9.26232';'41.5400';'9.25993';'41.5400';'775252';'1475.66';'1649513-1887994-775252-2238743'
'666';'CRS3035RES200mN2048800E4259400';'LAEA200M_N10244E21297';'9.26472';'41.5382';'9.26711';'41.5382';'9.26709';'41.5400';'9.26470';'41.5400';'775252';'1079.08';'775252'
'670';'CRS3035RES200mN2049000E4225200';'LAEA200M_N10245E21126';'8.85651';'41.5362';'8.85890';'41.5362';'8.85886';'41.5380';'8.85648';'41.5380';'264648';'334.23';'264648'
'687';'CRS3035RES200mN2049200E4225000';'LAEA200M_N10246E21125';'8.85409';'41.5379';'8.85648';'41.5380';'8.85644';'41.5398';'8.85406';'41.5397';'264648';'247.63';'264648'
'692';'CRS3035RES200mN2049200E4259200';'LAEA200M_N10246E21296';'9.26229';'41.5418';'9.26468';'41.5418';'9.26466';'41.5436';'9.26227';'41.5436';'775252';'1361.74';'775252'
'694';'CRS3035RES200mN2049200E4260400';'LAEA200M_N10246E21302';'9.27662';'41.5419';'9.27901';'41.5419';'9.27898';'41.5437';'9.27660';'41.5437';'775252';'485.52';'775252'
'701';'CRS3035RES200mN2049400E4224600';'LAEA200M_N10247E21123';'8.84928';'41.5397';'8.85167';'41.5397';'8.85164';'41.5415';'8.84925';'41.5415';'264648';'606.78';'264648'
'702';'CRS3035RES200mN2049400E4224800';'LAEA200M_N10247E21124';'8.85167';'41.5397';'8.85406';'41.5397';'8.85402';'41.5415';'8.85164';'41.5415';'264648';'408.72';'264648'
'708';'CRS3035RES200mN2049400E4253600';'LAEA200M_N10247E21268';'9.19543';'41.5431';'9.19781';'41.5431';'9.19779';'41.5449';'9.19540';'41.5449';'1828622';'4166.88';'1828622-666487'
