'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1078';'CRS3035RES200mN2053800E4259400';'LAEA200M_N10269E21297';'9.26419';'41.5834';'9.26658';'41.5834';'9.26655';'41.5852';'9.26416';'41.5852';'445750';'498.03';'445750'
'1079';'CRS3035RES200mN2053800E4259600';'LAEA200M_N10269E21298';'9.26658';'41.5834';'9.26896';'41.5834';'9.26894';'41.5852';'9.26655';'41.5852';'445750';'491.66';'536956-445750'
'1080';'CRS3035RES200mN2053800E4259800';'LAEA200M_N10269E21299';'9.26896';'41.5834';'9.27135';'41.5834';'9.27133';'41.5852';'9.26894';'41.5852';'536956';'524.85';'774674-536956-445750'
'1081';'CRS3035RES200mN2053800E4260000';'LAEA200M_N10269E21300';'9.27135';'41.5834';'9.27374';'41.5835';'9.27372';'41.5853';'9.27133';'41.5852';'536956';'364.29';'774674-774683-536956-445750'
'1082';'CRS3035RES200mN2053800E4260200';'LAEA200M_N10269E21301';'9.27374';'41.5835';'9.27613';'41.5835';'9.27611';'41.5853';'9.27372';'41.5853';'536956';'268.44';'774683-536956'
'1084';'CRS3035RES200mN2053800E4260600';'LAEA200M_N10269E21303';'9.27852';'41.5835';'9.28091';'41.5835';'9.28089';'41.5853';'9.27850';'41.5853';'774683';'99.52';'774683-536956'
'1085';'CRS3035RES200mN2053800E4260800';'LAEA200M_N10269E21304';'9.28091';'41.5835';'9.28330';'41.5835';'9.28328';'41.5853';'9.28089';'41.5853';'774683';'142.41';'774683'
'1088';'CRS3035RES200mN2053800E4262800';'LAEA200M_N10269E21314';'9.30480';'41.5837';'9.30719';'41.5837';'9.30717';'41.5855';'9.30478';'41.5855';'461776';'1749.06';'461776'
'1102';'CRS3035RES200mN2054000E4259600';'LAEA200M_N10270E21298';'9.26655';'41.5852';'9.26894';'41.5852';'9.26892';'41.5870';'9.26653';'41.5870';'445750';'291.46';'445750'
'1103';'CRS3035RES200mN2054000E4259800';'LAEA200M_N10270E21299';'9.26894';'41.5852';'9.27133';'41.5852';'9.27131';'41.5871';'9.26892';'41.5870';'445750';'359.65';'774674-536956-445750'
'1104';'CRS3035RES200mN2054000E4260000';'LAEA200M_N10270E21300';'9.27133';'41.5852';'9.27372';'41.5853';'9.27370';'41.5871';'9.27131';'41.5871';'536956';'256.89';'774674-536956-445750'
