'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'379';'CRS3035RES200mN2043400E4242000';'LAEA200M_N10217E21210';'9.05779';'41.4876';'9.06018';'41.4877';'9.06015';'41.4895';'9.05776';'41.4894';'273352';'976.67';'273352'
'381';'CRS3035RES200mN2043400E4242800';'LAEA200M_N10217E21214';'9.06733';'41.4877';'9.06972';'41.4877';'9.06969';'41.4896';'9.06731';'41.4895';'273352';'1391.93';'273352'
'382';'CRS3035RES200mN2043400E4247600';'LAEA200M_N10217E21238';'9.12458';'41.4882';'9.12696';'41.4883';'9.12694';'41.4901';'9.12455';'41.4900';'1293725';'100.1';'1293725'
'387';'CRS3035RES200mN2043600E4241800';'LAEA200M_N10218E21209';'9.05538';'41.4894';'9.05776';'41.4894';'9.05774';'41.4912';'9.05535';'41.4912';'273352';'751.62';'273352'
'388';'CRS3035RES200mN2043600E4242000';'LAEA200M_N10218E21210';'9.05776';'41.4894';'9.06015';'41.4895';'9.06012';'41.4913';'9.05774';'41.4912';'273352';'783.07';'273352'
'394';'CRS3035RES200mN2043600E4247600';'LAEA200M_N10218E21238';'9.12455';'41.4900';'9.12694';'41.4901';'9.12691';'41.4919';'9.12452';'41.4919';'1293725';'301.62';'1679074-1293725'
'397';'CRS3035RES200mN2043800E4241400';'LAEA200M_N10219E21207';'9.05058';'41.4912';'9.05297';'41.4912';'9.05294';'41.4930';'9.05055';'41.4930';'273352';'611.92';'273352'
'398';'CRS3035RES200mN2043800E4241600';'LAEA200M_N10219E21208';'9.05297';'41.4912';'9.05535';'41.4912';'9.05532';'41.4930';'9.05294';'41.4930';'273352';'554.82';'273352'
'399';'CRS3035RES200mN2043800E4241800';'LAEA200M_N10219E21209';'9.05535';'41.4912';'9.05774';'41.4912';'9.05771';'41.4931';'9.05532';'41.4930';'273352';'550.02';'273352'
'400';'CRS3035RES200mN2043800E4242000';'LAEA200M_N10219E21210';'9.05774';'41.4912';'9.06012';'41.4913';'9.06009';'41.4931';'9.05771';'41.4931';'273352';'588.06';'273352'
'403';'CRS3035RES200mN2043800E4247200';'LAEA200M_N10219E21236';'9.11975';'41.4918';'9.12214';'41.4918';'9.12211';'41.4936';'9.11973';'41.4936';'1679074';'569.34';'1679074-1293725'
