'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'579';'CRS3035RES200mN2047000E4258800';'LAEA200M_N10235E21294';'9.25776';'41.5219';'9.26015';'41.5219';'9.26012';'41.5237';'9.25774';'41.5237';'2238743';'164.04';'1649513-1887994-2238743'
'580';'CRS3035RES200mN2047000E4259000';'LAEA200M_N10235E21295';'9.26015';'41.5219';'9.26253';'41.5219';'9.26251';'41.5237';'9.26012';'41.5237';'2238743';'362.51';'1649513-1887994-2238743'
'582';'CRS3035RES200mN2047200E4233800';'LAEA200M_N10236E21169';'8.95943';'41.5210';'8.96181';'41.5210';'8.96178';'41.5228';'8.95939';'41.5228';'527817';'1646.53';'527817'
'583';'CRS3035RES200mN2047200E4244000';'LAEA200M_N10236E21220';'9.08113';'41.5222';'9.08352';'41.5222';'9.08349';'41.5240';'9.08111';'41.5240';'273352';'3546.17';'273352'
'586';'CRS3035RES200mN2047200E4249000';'LAEA200M_N10236E21245';'9.14080';'41.5227';'9.14318';'41.5228';'9.14316';'41.5246';'9.14077';'41.5245';'2238917';'1990.13';'2238917'
'587';'CRS3035RES200mN2047200E4249200';'LAEA200M_N10236E21246';'9.14318';'41.5228';'9.14557';'41.5228';'9.14554';'41.5246';'9.14316';'41.5246';'2238917';'2042.37';'2238917'
'595';'CRS3035RES200mN2047400E4247600';'LAEA200M_N10237E21238';'9.12406';'41.5244';'9.12645';'41.5244';'9.12643';'41.5262';'9.12404';'41.5262';'2238917';'2345.84';'2238917'
'596';'CRS3035RES200mN2047400E4249400';'LAEA200M_N10237E21247';'9.14554';'41.5246';'9.14793';'41.5246';'9.14791';'41.5264';'9.14552';'41.5264';'2238917';'2291.77';'2238917'
'610';'CRS3035RES200mN2047800E4243600';'LAEA200M_N10239E21218';'9.07628';'41.5276';'9.07867';'41.5276';'9.07864';'41.5294';'9.07625';'41.5294';'273352';'3833.74';'273352'
'630';'CRS3035RES200mN2048000E4260800';'LAEA200M_N10240E21304';'9.28152';'41.5311';'9.28391';'41.5311';'9.28388';'41.5329';'9.28150';'41.5329';'775252';'661.46';'775252'
'633';'CRS3035RES200mN2048200E4250600';'LAEA200M_N10241E21253';'9.15977';'41.5319';'9.16215';'41.5320';'9.16213';'41.5338';'9.15974';'41.5337';'2238917';'3551.11';'2238917-1828622-666487'
