'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1244';'CRS3035RES200mN2055000E4253800';'LAEA200M_N10275E21269';'9.19716';'41.5937';'9.19955';'41.5937';'9.19952';'41.5955';'9.19713';'41.5955';'666487';'3962.45';'1828622-666487'
'1246';'CRS3035RES200mN2055000E4254200';'LAEA200M_N10275E21271';'9.20194';'41.5938';'9.20432';'41.5938';'9.20430';'41.5956';'9.20191';'41.5956';'666487';'4282.38';'1828622-666487'
'1247';'CRS3035RES200mN2055000E4254600';'LAEA200M_N10275E21273';'9.20671';'41.5938';'9.20910';'41.5938';'9.20908';'41.5956';'9.20669';'41.5956';'666487';'4608.05';'1828622-666487'
'1249';'CRS3035RES200mN2055000E4255800';'LAEA200M_N10275E21279';'9.22105';'41.5939';'9.22344';'41.5939';'9.22342';'41.5957';'9.22103';'41.5957';'445750';'3714.08';'445750'
'1254';'CRS3035RES200mN2055000E4257200';'LAEA200M_N10275E21286';'9.23777';'41.5940';'9.24016';'41.5941';'9.24014';'41.5959';'9.23775';'41.5958';'445750';'2354.86';'445750'
'1255';'CRS3035RES200mN2055000E4258200';'LAEA200M_N10275E21291';'9.24972';'41.5941';'9.25211';'41.5941';'9.25209';'41.5959';'9.24970';'41.5959';'445750';'1416.87';'445750'
'1256';'CRS3035RES200mN2055000E4259000';'LAEA200M_N10275E21295';'9.25928';'41.5942';'9.26167';'41.5942';'9.26165';'41.5960';'9.25926';'41.5960';'445750';'781.64';'445750'
'1257';'CRS3035RES200mN2055000E4259200';'LAEA200M_N10275E21296';'9.26167';'41.5942';'9.26406';'41.5942';'9.26404';'41.5960';'9.26165';'41.5960';'445750';'675.35';'445750'
'1258';'CRS3035RES200mN2055000E4259800';'LAEA200M_N10275E21299';'9.26884';'41.5943';'9.27122';'41.5943';'9.27120';'41.5961';'9.26881';'41.5961';'774685';'484.32';'2170308-774674-445750-1677017-774685'
'1260';'CRS3035RES200mN2055000E4260200';'LAEA200M_N10275E21301';'9.27361';'41.5943';'9.27600';'41.5943';'9.27598';'41.5961';'9.27359';'41.5961';'774685';'104.93';'774674-2170308-774685'
'1261';'CRS3035RES200mN2055000E4260400';'LAEA200M_N10275E21302';'9.27600';'41.5943';'9.27839';'41.5943';'9.27837';'41.5961';'9.27598';'41.5961';'774685';'67.06';'774685'
