'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1104';'CRS3035RES200mN2054000E4260000';'LAEA200M_N10270E21300';'9.27133';'41.5852';'9.27372';'41.5853';'9.27370';'41.5871';'9.27131';'41.5871';'536956';'256.89';'774674-536956-445750'
'1105';'CRS3035RES200mN2054000E4260200';'LAEA200M_N10270E21301';'9.27372';'41.5853';'9.27611';'41.5853';'9.27609';'41.5871';'9.27370';'41.5871';'536956';'81.59';'774674-536956'
'1106';'CRS3035RES200mN2054000E4260400';'LAEA200M_N10270E21302';'9.27611';'41.5853';'9.27850';'41.5853';'9.27848';'41.5871';'9.27609';'41.5871';'536956';'79.94';'774674-774683-536956'
'1107';'CRS3035RES200mN2054000E4260600';'LAEA200M_N10270E21303';'9.27850';'41.5853';'9.28089';'41.5853';'9.28087';'41.5871';'9.27848';'41.5871';'536956';'255.26';'774674-774683-536956-2164058'
'1108';'CRS3035RES200mN2054000E4260800';'LAEA200M_N10270E21304';'9.28089';'41.5853';'9.28328';'41.5853';'9.28326';'41.5871';'9.28087';'41.5871';'774683';'316.01';'2164058-774683-536956-774674'
'1109';'CRS3035RES200mN2054000E4261000';'LAEA200M_N10270E21305';'9.28328';'41.5853';'9.28567';'41.5853';'9.28564';'41.5872';'9.28326';'41.5871';'774683';'423.39';'2164058-774683-536956'
'1115';'CRS3035RES200mN2054000E4265400';'LAEA200M_N10270E21327';'9.33583';'41.5857';'9.33822';'41.5857';'9.33820';'41.5875';'9.33581';'41.5875';'461776';'2049.83';'461776'
'1120';'CRS3035RES200mN2054200E4254000';'LAEA200M_N10271E21270';'9.19964';'41.5865';'9.20203';'41.5865';'9.20201';'41.5883';'9.19962';'41.5883';'666487';'3686.53';'1828622-666487'
'1126';'CRS3035RES200mN2054200E4259400';'LAEA200M_N10271E21297';'9.26414';'41.5870';'9.26653';'41.5870';'9.26651';'41.5888';'9.26412';'41.5888';'445750';'124.7';'445750'
'1127';'CRS3035RES200mN2054200E4259600';'LAEA200M_N10271E21298';'9.26653';'41.5870';'9.26892';'41.5870';'9.26890';'41.5888';'9.26651';'41.5888';'445750';'91.9';'445750'
'1128';'CRS3035RES200mN2054200E4259800';'LAEA200M_N10271E21299';'9.26892';'41.5870';'9.27131';'41.5871';'9.27129';'41.5889';'9.26890';'41.5888';'445750';'230.3';'774674-536956-445750'
