'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1224';'CRS3035RES200mN2054800E4256200';'LAEA200M_N10274E21281';'9.22585';'41.5921';'9.22824';'41.5922';'9.22822';'41.5940';'9.22583';'41.5939';'445750';'3292.36';'445750'
'1225';'CRS3035RES200mN2054800E4256400';'LAEA200M_N10274E21282';'9.22824';'41.5922';'9.23063';'41.5922';'9.23061';'41.5940';'9.22822';'41.5940';'445750';'3095.34';'445750'
'1226';'CRS3035RES200mN2054800E4256600';'LAEA200M_N10274E21283';'9.23063';'41.5922';'9.23302';'41.5922';'9.23300';'41.5940';'9.23061';'41.5940';'445750';'2898.19';'445750'
'1232';'CRS3035RES200mN2054800E4260000';'LAEA200M_N10274E21300';'9.27125';'41.5925';'9.27364';'41.5925';'9.27361';'41.5943';'9.27122';'41.5943';'774685';'282.44';'774674-445750-1677017-536956-774685'
'1233';'CRS3035RES200mN2054800E4260400';'LAEA200M_N10274E21302';'9.27602';'41.5925';'9.27841';'41.5925';'9.27839';'41.5943';'9.27600';'41.5943';'774685';'39.45';'774674-774685'
'1234';'CRS3035RES200mN2054800E4260600';'LAEA200M_N10274E21303';'9.27841';'41.5925';'9.28080';'41.5925';'9.28078';'41.5944';'9.27839';'41.5943';'774685';'217.88';'774674-2164058-774685'
'1235';'CRS3035RES200mN2054800E4260800';'LAEA200M_N10274E21304';'9.28080';'41.5925';'9.28319';'41.5926';'9.28317';'41.5944';'9.28078';'41.5944';'2164058';'233.07';'774674-2164058-774685'
'1236';'CRS3035RES200mN2054800E4261000';'LAEA200M_N10274E21305';'9.28319';'41.5926';'9.28558';'41.5926';'9.28556';'41.5944';'9.28317';'41.5944';'2164058';'155.32';'2164058'
'1242';'CRS3035RES200mN2055000E4253400';'LAEA200M_N10275E21267';'9.19238';'41.5937';'9.19477';'41.5937';'9.19474';'41.5955';'9.19235';'41.5955';'666487';'3665.33';'1828622-666487'
'1243';'CRS3035RES200mN2055000E4253600';'LAEA200M_N10275E21268';'9.19477';'41.5937';'9.19716';'41.5937';'9.19713';'41.5955';'9.19474';'41.5955';'666487';'3811.6';'1828622-666487'
'1244';'CRS3035RES200mN2055000E4253800';'LAEA200M_N10275E21269';'9.19716';'41.5937';'9.19955';'41.5937';'9.19952';'41.5955';'9.19713';'41.5955';'666487';'3962.45';'1828622-666487'
