'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'155';'CRS3035RES200mN2033800E4256200';'LAEA200M_N10169E21281';'9.22822';'41.4023';'9.23060';'41.4023';'9.23058';'41.4041';'9.22820';'41.4041';'1677041';'317.13';'1677041'
'165';'CRS3035RES200mN2034000E4251000';'LAEA200M_N10170E21255';'9.16627';'41.4036';'9.16865';'41.4036';'9.16863';'41.4054';'9.16624';'41.4054';'1677047';'1655.12';'592323-450868-1677047'
'176';'CRS3035RES200mN2034200E4249800';'LAEA200M_N10171E21249';'9.15195';'41.4053';'9.15433';'41.4053';'9.15431';'41.4071';'9.15193';'41.4071';'1677047';'1973.47';'592323-1954157-609326-468919-1677047'
'183';'CRS3035RES200mN2034200E4251200';'LAEA200M_N10171E21256';'9.16863';'41.4054';'9.17101';'41.4055';'9.17098';'41.4073';'9.16860';'41.4072';'450868';'1768.26';'592323-450868-1677047'
'186';'CRS3035RES200mN2034200E4252400';'LAEA200M_N10171E21262';'9.18292';'41.4056';'9.18530';'41.4056';'9.18528';'41.4074';'9.18290';'41.4074';'2012509';'1012.18';'2012509-1762535'
'198';'CRS3035RES200mN2034400E4250800';'LAEA200M_N10172E21254';'9.16384';'41.4072';'9.16622';'41.4072';'9.16620';'41.4090';'9.16381';'41.4090';'450868';'1764.63';'592323-450868-1677047-468919'
'199';'CRS3035RES200mN2034400E4251000';'LAEA200M_N10172E21255';'9.16622';'41.4072';'9.16860';'41.4072';'9.16858';'41.4091';'9.16620';'41.4090';'450868';'1661.0';'450868-1677047'
'216';'CRS3035RES200mN2034600E4247400';'LAEA200M_N10173E21237';'9.12332';'41.4087';'9.12570';'41.4087';'9.12567';'41.4105';'9.12329';'41.4105';'609326';'1831.34';'1954157-609326'
'241';'CRS3035RES200mN2034800E4252000';'LAEA200M_N10174E21260';'9.17808';'41.4109';'9.18047';'41.4110';'9.18044';'41.4128';'9.17806';'41.4128';'450868';'1078.12';'450868'
'242';'CRS3035RES200mN2034800E4252200';'LAEA200M_N10174E21261';'9.18047';'41.4110';'9.18285';'41.4110';'9.18282';'41.4128';'9.18044';'41.4128';'450868';'1120.56';'450868-1202301'
'260';'CRS3035RES200mN2035600E4252000';'LAEA200M_N10178E21260';'9.17799';'41.4182';'9.18037';'41.4182';'9.18035';'41.4200';'9.17796';'41.4200';'450868';'298.71';'450868'
