'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'121';'CRS3035RES200mN2033600E4250000';'LAEA200M_N10168E21250';'9.15441';'41.3999';'9.15679';'41.3999';'9.15677';'41.4017';'9.15438';'41.4017';'1677047';'1341.4';'592323-1677047-468919'
'124';'CRS3035RES200mN2033600E4250600';'LAEA200M_N10168E21253';'9.16155';'41.4000';'9.16394';'41.4000';'9.16391';'41.4018';'9.16153';'41.4018';'1677047';'1224.44';'592323-1677047-468919'
'126';'CRS3035RES200mN2033600E4251000';'LAEA200M_N10168E21255';'9.16632';'41.4000';'9.16870';'41.4000';'9.16868';'41.4018';'9.16629';'41.4018';'1677047';'1265.52';'592323-1677047'
'127';'CRS3035RES200mN2033600E4251600';'LAEA200M_N10168E21258';'9.17346';'41.4001';'9.17584';'41.4001';'9.17582';'41.4019';'9.17344';'41.4019';'1677047';'1538.62';'592323-1677047'
'133';'CRS3035RES200mN2033600E4254400';'LAEA200M_N10168E21272';'9.20681';'41.4003';'9.20919';'41.4003';'9.20917';'41.4022';'9.20678';'41.4021';'1762535';'793.41';'2012509-1762535'
'143';'CRS3035RES200mN2033800E4250400';'LAEA200M_N10169E21252';'9.15915';'41.4017';'9.16153';'41.4018';'9.16151';'41.4036';'9.15912';'41.4036';'1677047';'1433.73';'592323-1677047-468919'
'144';'CRS3035RES200mN2033800E4250600';'LAEA200M_N10169E21253';'9.16153';'41.4018';'9.16391';'41.4018';'9.16389';'41.4036';'9.16151';'41.4036';'1677047';'1424.47';'592323-1677047-468919'
'145';'CRS3035RES200mN2033800E4250800';'LAEA200M_N10169E21254';'9.16391';'41.4018';'9.16629';'41.4018';'9.16627';'41.4036';'9.16389';'41.4036';'1677047';'1429.41';'592323-1677047-468919'
'146';'CRS3035RES200mN2033800E4251000';'LAEA200M_N10169E21255';'9.16629';'41.4018';'9.16868';'41.4018';'9.16865';'41.4036';'9.16627';'41.4036';'1677047';'1459.75';'592323-1677047'
'153';'CRS3035RES200mN2033800E4255600';'LAEA200M_N10169E21278';'9.22108';'41.4022';'9.22346';'41.4023';'9.22344';'41.4041';'9.22105';'41.4041';'1677041';'234.71';'1677041'
'155';'CRS3035RES200mN2033800E4256200';'LAEA200M_N10169E21281';'9.22822';'41.4023';'9.23060';'41.4023';'9.23058';'41.4041';'9.22820';'41.4041';'1677041';'317.13';'1677041'
