'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1188';'CRS3035RES200mN2054600E4256200';'LAEA200M_N10273E21281';'9.22587';'41.5903';'9.22826';'41.5903';'9.22824';'41.5922';'9.22585';'41.5921';'445750';'3274.35';'445750'
'1189';'CRS3035RES200mN2054600E4256400';'LAEA200M_N10273E21282';'9.22826';'41.5903';'9.23065';'41.5904';'9.23063';'41.5922';'9.22824';'41.5922';'445750';'3073.66';'445750'
'1190';'CRS3035RES200mN2054600E4256600';'LAEA200M_N10273E21283';'9.23065';'41.5904';'9.23304';'41.5904';'9.23302';'41.5922';'9.23063';'41.5922';'445750';'2876.65';'445750'
'1191';'CRS3035RES200mN2054600E4256800';'LAEA200M_N10273E21284';'9.23304';'41.5904';'9.23543';'41.5904';'9.23541';'41.5922';'9.23302';'41.5922';'445750';'2678.29';'445750'
'1192';'CRS3035RES200mN2054600E4257000';'LAEA200M_N10273E21285';'9.23543';'41.5904';'9.23782';'41.5904';'9.23780';'41.5922';'9.23541';'41.5922';'445750';'2479.99';'445750'
'1195';'CRS3035RES200mN2054600E4259400';'LAEA200M_N10273E21297';'9.26410';'41.5906';'9.26649';'41.5906';'9.26647';'41.5924';'9.26408';'41.5924';'445750';'227.18';'445750'
'1196';'CRS3035RES200mN2054600E4259600';'LAEA200M_N10273E21298';'9.26649';'41.5906';'9.26888';'41.5906';'9.26886';'41.5925';'9.26647';'41.5924';'445750';'211.06';'445750'
'1197';'CRS3035RES200mN2054600E4259800';'LAEA200M_N10273E21299';'9.26888';'41.5906';'9.27127';'41.5907';'9.27125';'41.5925';'9.26886';'41.5925';'445750';'300.77';'774674-536956-774685-445750'
'1198';'CRS3035RES200mN2054600E4260200';'LAEA200M_N10273E21301';'9.27366';'41.5907';'9.27605';'41.5907';'9.27602';'41.5925';'9.27364';'41.5925';'774674';'86.28';'774674-536956-774685'
'1199';'CRS3035RES200mN2054600E4260400';'LAEA200M_N10273E21302';'9.27605';'41.5907';'9.27844';'41.5907';'9.27841';'41.5925';'9.27602';'41.5925';'774674';'79.42';'774674-536956-774685'
'1200';'CRS3035RES200mN2054600E4260600';'LAEA200M_N10273E21303';'9.27844';'41.5907';'9.28082';'41.5907';'9.28080';'41.5925';'9.27841';'41.5925';'774674';'251.53';'774674-2164058-536956-774685'
