'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'48';'CRS3035RES200mN2032200E4251800';'LAEA200M_N10161E21259';'9.17601';'41.3874';'9.17839';'41.3874';'9.17837';'41.3892';'9.17599';'41.3892';'1677047';'1132.03';'579561-592323-1677047'
'49';'CRS3035RES200mN2032200E4252000';'LAEA200M_N10161E21260';'9.17839';'41.3874';'9.18078';'41.3875';'9.18075';'41.3893';'9.17837';'41.3892';'1677047';'1330.18';'579561-671234-592323-1677047'
'52';'CRS3035RES200mN2032200E4252600';'LAEA200M_N10161E21263';'9.18554';'41.3875';'9.18792';'41.3875';'9.18790';'41.3893';'9.18551';'41.3893';'1875026';'1204.47';'579561-671234-2012509-1875026'
'53';'CRS3035RES200mN2032200E4252800';'LAEA200M_N10161E21264';'9.18792';'41.3875';'9.19030';'41.3875';'9.19028';'41.3893';'9.18790';'41.3893';'1875026';'1034.3';'671234-1875026'
'54';'CRS3035RES200mN2032200E4253000';'LAEA200M_N10161E21265';'9.19030';'41.3875';'9.19268';'41.3876';'9.19266';'41.3894';'9.19028';'41.3893';'1875026';'881.73';'671234-1875026'
'56';'CRS3035RES200mN2032400E4250400';'LAEA200M_N10162E21252';'9.15932';'41.3891';'9.16170';'41.3891';'9.16168';'41.3909';'9.15929';'41.3909';'1677047';'163.7';'592323-1677047-468919'
'57';'CRS3035RES200mN2032400E4250600';'LAEA200M_N10162E21253';'9.16170';'41.3891';'9.16408';'41.3891';'9.16406';'41.3909';'9.16168';'41.3909';'1677047';'37.31';'592323-1677047-468919'
'58';'CRS3035RES200mN2032400E4250800';'LAEA200M_N10162E21254';'9.16408';'41.3891';'9.16646';'41.3891';'9.16644';'41.3910';'9.16406';'41.3909';'1677047';'134.02';'592323-1677047'
'59';'CRS3035RES200mN2032400E4251000';'LAEA200M_N10162E21255';'9.16646';'41.3891';'9.16884';'41.3892';'9.16882';'41.3910';'9.16644';'41.3910';'1677047';'335.04';'592323-1677047'
'60';'CRS3035RES200mN2032400E4251200';'LAEA200M_N10162E21256';'9.16884';'41.3892';'9.17123';'41.3892';'9.17120';'41.3910';'9.16882';'41.3910';'1677047';'532.52';'592323-1677047'
'64';'CRS3035RES200mN2032400E4252600';'LAEA200M_N10162E21263';'9.18551';'41.3893';'9.18790';'41.3893';'9.18787';'41.3911';'9.18549';'41.3911';'1875026';'1313.55';'671234-1762535-579561-1875026-2012509'
