'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'807';'CRS3035RES200mN2050600E4258800';'LAEA200M_N10253E21294';'9.25737';'41.5544';'9.25976';'41.5544';'9.25973';'41.5562';'9.25735';'41.5562';'1922268';'1573.89';'1922268'
'815';'CRS3035RES200mN2050800E4251600';'LAEA200M_N10254E21258';'9.17138';'41.5555';'9.17377';'41.5556';'9.17375';'41.5574';'9.17136';'41.5573';'1828622';'1834.41';'1828622-666487'
'821';'CRS3035RES200mN2050800E4260000';'LAEA200M_N10254E21300';'9.27167';'41.5563';'9.27406';'41.5563';'9.27404';'41.5581';'9.27165';'41.5581';'1922268';'596.72';'1922268'
'835';'CRS3035RES200mN2051000E4257400';'LAEA200M_N10255E21287';'9.24061';'41.5579';'9.24300';'41.5579';'9.24297';'41.5597';'9.24059';'41.5597';'1922268';'2788.66';'1922268'
'836';'CRS3035RES200mN2051000E4257600';'LAEA200M_N10255E21288';'9.24300';'41.5579';'9.24538';'41.5579';'9.24536';'41.5597';'9.24297';'41.5597';'1922268';'2592.12';'1922268'
'837';'CRS3035RES200mN2051000E4260000';'LAEA200M_N10255E21300';'9.27165';'41.5581';'9.27404';'41.5581';'9.27402';'41.5600';'9.27163';'41.5599';'1922268';'404.7';'1922268'
'838';'CRS3035RES200mN2051000E4260200';'LAEA200M_N10255E21301';'9.27404';'41.5581';'9.27643';'41.5582';'9.27641';'41.5600';'9.27402';'41.5600';'1922268';'361.1';'1922268'
'839';'CRS3035RES200mN2051000E4261200';'LAEA200M_N10255E21306';'9.28598';'41.5582';'9.28837';'41.5582';'9.28835';'41.5601';'9.28596';'41.5600';'1922268';'982.15';'1922268-776421'
'840';'CRS3035RES200mN2051000E4261400';'LAEA200M_N10255E21307';'9.28837';'41.5582';'9.29076';'41.5583';'9.29073';'41.5601';'9.28835';'41.5601';'1922268';'1169.52';'1922268-776421'
'843';'CRS3035RES200mN2051000E4262600';'LAEA200M_N10255E21313';'9.30269';'41.5583';'9.30508';'41.5584';'9.30506';'41.5602';'9.30267';'41.5602';'674287';'1133.19';'776421-674287'
'858';'CRS3035RES200mN2051200E4260000';'LAEA200M_N10256E21300';'9.27163';'41.5599';'9.27402';'41.5600';'9.27400';'41.5618';'9.27161';'41.5617';'1922268';'240.97';'1922268'
