'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'1200';'CRS3035RES200mN2054600E4260600';'LAEA200M_N10273E21303';'9.27844';'41.5907';'9.28082';'41.5907';'9.28080';'41.5925';'9.27841';'41.5925';'774674';'251.53';'774674-2164058-536956-774685'
'1201';'CRS3035RES200mN2054600E4260800';'LAEA200M_N10273E21304';'9.28082';'41.5907';'9.28321';'41.5908';'9.28319';'41.5926';'9.28080';'41.5925';'2164058';'182.65';'774674-2164058-774685'
'1203';'CRS3035RES200mN2054600E4263000';'LAEA200M_N10273E21315';'9.30710';'41.5909';'9.30949';'41.5909';'9.30947';'41.5927';'9.30708';'41.5927';'461776';'991.16';'461776'
'1212';'CRS3035RES200mN2054800E4233600';'LAEA200M_N10274E21168';'8.95588';'41.5897';'8.95827';'41.5897';'8.95824';'41.5915';'8.95585';'41.5915';'1676337';'49.52';'1676337'
'1214';'CRS3035RES200mN2054800E4253800';'LAEA200M_N10274E21269';'9.19718';'41.5919';'9.19957';'41.5919';'9.19955';'41.5937';'9.19716';'41.5937';'666487';'3839.15';'1828622-666487'
'1215';'CRS3035RES200mN2054800E4254000';'LAEA200M_N10274E21270';'9.19957';'41.5919';'9.20196';'41.5919';'9.20194';'41.5938';'9.19955';'41.5937';'666487';'3998.64';'1828622-666487'
'1219';'CRS3035RES200mN2054800E4254800';'LAEA200M_N10274E21274';'9.20913';'41.5920';'9.21152';'41.5920';'9.21149';'41.5938';'9.20910';'41.5938';'666487';'4673.63';'445750-1828622-666487'
'1220';'CRS3035RES200mN2054800E4255000';'LAEA200M_N10274E21275';'9.21152';'41.5920';'9.21390';'41.5920';'9.21388';'41.5938';'9.21149';'41.5938';'445750';'4477.52';'1828622-445750-666487'
'1221';'CRS3035RES200mN2054800E4255200';'LAEA200M_N10274E21276';'9.21390';'41.5920';'9.21629';'41.5921';'9.21627';'41.5939';'9.21388';'41.5938';'445750';'4280.22';'445750'
'1223';'CRS3035RES200mN2054800E4256000';'LAEA200M_N10274E21280';'9.22346';'41.5921';'9.22585';'41.5921';'9.22583';'41.5939';'9.22344';'41.5939';'445750';'3488.98';'445750'
'1224';'CRS3035RES200mN2054800E4256200';'LAEA200M_N10274E21281';'9.22585';'41.5921';'9.22824';'41.5922';'9.22822';'41.5940';'9.22583';'41.5939';'445750';'3292.36';'445750'
