'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupPlusProche';'DistPlusProche';'ToutSupProche'
'500';'CRS3035RES200mN2045800E4249600';'LAEA200M_N10229E21248';'9.14813';'41.5101';'9.15052';'41.5102';'9.15049';'41.5120';'9.14810';'41.5119';'2238917';'1108.54';'2238917'
'502';'CRS3035RES200mN2045800E4253200';'LAEA200M_N10229E21266';'9.19108';'41.5105';'9.19346';'41.5105';'9.19344';'41.5123';'9.19105';'41.5123';'774669';'3522.03';'774669'
'508';'CRS3035RES200mN2046000E4237800';'LAEA200M_N10230E21189';'9.00733';'41.5106';'9.00971';'41.5107';'9.00968';'41.5125';'9.00730';'41.5125';'527817';'2602.99';'527817'
'509';'CRS3035RES200mN2046000E4238000';'LAEA200M_N10230E21190';'9.00971';'41.5107';'9.01210';'41.5107';'9.01207';'41.5125';'9.00968';'41.5125';'527817';'2800.07';'527817'
'510';'CRS3035RES200mN2046000E4238200';'LAEA200M_N10230E21191';'9.01210';'41.5107';'9.01449';'41.5107';'9.01446';'41.5125';'9.01207';'41.5125';'527817';'2999.12';'527817'
'516';'CRS3035RES200mN2046200E4238000';'LAEA200M_N10231E21190';'9.00968';'41.5125';'9.01207';'41.5125';'9.01204';'41.5143';'9.00966';'41.5143';'527817';'2800.01';'527817'
'517';'CRS3035RES200mN2046200E4238200';'LAEA200M_N10231E21191';'9.01207';'41.5125';'9.01446';'41.5125';'9.01443';'41.5143';'9.01204';'41.5143';'527817';'2998.88';'527817'
'518';'CRS3035RES200mN2046200E4238400';'LAEA200M_N10231E21192';'9.01446';'41.5125';'9.01684';'41.5125';'9.01681';'41.5144';'9.01443';'41.5143';'527817';'3196.36';'273352-527817'
'524';'CRS3035RES200mN2046200E4255200';'LAEA200M_N10231E21276';'9.21489';'41.5143';'9.21728';'41.5143';'9.21726';'41.5161';'9.21487';'41.5161';'774669';'1684.7';'774669'
'525';'CRS3035RES200mN2046400E4237800';'LAEA200M_N10232E21189';'9.00727';'41.5143';'9.00966';'41.5143';'9.00963';'41.5161';'9.00724';'41.5161';'527817';'2613.15';'527817'
'527';'CRS3035RES200mN2046400E4238200';'LAEA200M_N10232E21191';'9.01204';'41.5143';'9.01443';'41.5143';'9.01440';'41.5161';'9.01201';'41.5161';'527817';'3008.42';'527817'
