'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupProchePt1';'SupProchePt2';'SupProchePt3';'SupProchePt4';'IdAllSupProche'
'860';'CRS3035RES200mN2051200E4260400';'LAEA200M_N10256E21302';'9.27641';'41.5600';'9.27879';'41.5600';'9.27877';'41.5618';'9.27639';'41.5618';'1922268-285';'1922268-339';'1922268-270';'1922268-199';'1922268'
'862';'CRS3035RES200mN2051200E4261000';'LAEA200M_N10256E21305';'9.28357';'41.5600';'9.28596';'41.5600';'9.28594';'41.5618';'9.28355';'41.5618';'1922268-762';'1922268-856';'1922268-830';'1922268-733';'1922268'
'863';'CRS3035RES200mN2051200E4261200';'LAEA200M_N10256E21306';'9.28596';'41.5600';'9.28835';'41.5601';'9.28833';'41.5619';'9.28594';'41.5618';'1922268-950';'1922268-1045';'1922268-1025';'1922268-928';'1922268'
'869';'CRS3035RES200mN2051400E4229400';'LAEA200M_N10257E21147';'8.90625';'41.5584';'8.90864';'41.5584';'8.90861';'41.5602';'8.90622';'41.5602';'264648-4521';'264648-4610';'264648-4654';'264648-4566';'264648-774659'
'876';'CRS3035RES200mN2051400E4257200';'LAEA200M_N10257E21286';'9.23818';'41.5615';'9.24056';'41.5615';'9.24054';'41.5633';'9.23815';'41.5633';'1922268-3063';'1922268-2964';'1922268-2963';'1922268-3063';'1922268-445750'
'877';'CRS3035RES200mN2051400E4257400';'LAEA200M_N10257E21287';'9.24056';'41.5615';'9.24295';'41.5615';'9.24293';'41.5633';'9.24054';'41.5633';'1922268-2865';'1922268-2765';'1922268-2765';'1922268-2864';'1922268-445750'
'880';'CRS3035RES200mN2051400E4260000';'LAEA200M_N10257E21300';'9.27161';'41.5617';'9.27400';'41.5618';'9.27398';'41.5636';'9.27159';'41.5635';'1922268-287';'1922268-190';'1922268-185';'1922268-282';'1922268'
'881';'CRS3035RES200mN2051400E4260200';'LAEA200M_N10257E21301';'9.27400';'41.5618';'9.27639';'41.5618';'9.27636';'41.5636';'9.27398';'41.5636';'1922268-99';'1922268-62';'1922268-45';'1922268-91';'1922268'
'897';'CRS3035RES200mN2051600E4257400';'LAEA200M_N10258E21287';'9.24054';'41.5633';'9.24293';'41.5633';'9.24291';'41.5651';'9.24052';'41.5651';'1922268-2867';'1922268-2767';'1922268-2774';'1922268-2873';'1922268-445750'
'898';'CRS3035RES200mN2051600E4257600';'LAEA200M_N10258E21288';'9.24293';'41.5633';'9.24532';'41.5634';'9.24530';'41.5652';'9.24291';'41.5651';'1922268-2668';'1922268-2569';'1922268-2576';'1922268-2675';'1922268-445750'
