'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupProchePt1';'SupProchePt2';'SupProchePt3';'SupProchePt4';'IdAllSupProche'
'85';'CRS3035RES200mN2033000E4250400';'LAEA200M_N10165E21252';'9.15925';'41.3945';'9.16163';'41.3945';'9.16160';'41.3963';'9.15922';'41.3963';'1677047-669';'1677047-635';'1677047-733';'1677047-762';'592323-1677047-468919'
'87';'CRS3035RES200mN2033000E4251200';'LAEA200M_N10165E21256';'9.16877';'41.3946';'9.17115';'41.3946';'9.17113';'41.3964';'9.16875';'41.3964';'1677047-816';'1677047-883';'1677047-956';'1677047-894';'592323-1677047'
'97';'CRS3035RES200mN2033200E4251400';'LAEA200M_N10166E21257';'9.17113';'41.3964';'9.17351';'41.3964';'9.17349';'41.3982';'9.17110';'41.3982';'1677047-1096';'1677047-1164';'1677047-1236';'1677047-1172';'592323-1677047'
'103';'CRS3035RES200mN2033400E4250200';'LAEA200M_N10167E21251';'9.15681';'41.3981';'9.15920';'41.3981';'9.15917';'41.3999';'9.15679';'41.3999';'1677047-1117';'1677047-1079';'1677047-1174';'1677047-1209';'592323-1677047-468919'
'109';'CRS3035RES200mN2033400E4251800';'LAEA200M_N10167E21259';'9.17587';'41.3983';'9.17825';'41.3983';'9.17823';'41.4001';'9.17584';'41.4001';'1677047-1524';'1677047-1598';'2012509-1625';'1677047-1593';'592323-1762535-1677047-468919-2012509'
'115';'CRS3035RES200mN2033400E4255200';'LAEA200M_N10167E21276';'9.21636';'41.3986';'9.21874';'41.3986';'9.21872';'41.4004';'9.21634';'41.4004';'1677041-938';'1677041-868';'1677041-798';'1677041-875';'1677041'
'121';'CRS3035RES200mN2033600E4250000';'LAEA200M_N10168E21250';'9.15441';'41.3999';'9.15679';'41.3999';'9.15677';'41.4017';'9.15438';'41.4017';'1677047-1387';'1677047-1341';'1677047-1433';'1677047-1476';'592323-1677047-468919'
'124';'CRS3035RES200mN2033600E4250600';'LAEA200M_N10168E21253';'9.16155';'41.4000';'9.16394';'41.4000';'9.16391';'41.4018';'9.16153';'41.4018';'1677047-1227';'1677047-1224';'1677047-1325';'1677047-1327';'592323-1677047-468919'
'126';'CRS3035RES200mN2033600E4251000';'LAEA200M_N10168E21255';'9.16632';'41.4000';'9.16870';'41.4000';'9.16868';'41.4018';'9.16629';'41.4018';'1677047-1266';'1677047-1294';'1677047-1389';'1677047-1362';'592323-1677047'
'127';'CRS3035RES200mN2033600E4251600';'LAEA200M_N10168E21258';'9.17346';'41.4001';'9.17584';'41.4001';'9.17582';'41.4019';'9.17344';'41.4019';'1677047-1539';'1677047-1600';'1677047-1678';'1677047-1620';'592323-1677047'
'133';'CRS3035RES200mN2033600E4254400';'LAEA200M_N10168E21272';'9.20681';'41.4003';'9.20919';'41.4003';'9.20917';'41.4022';'9.20678';'41.4021';'1762535-831';'1762535-922';'1762535-887';'1762535-793';'2012509-1762535'
'143';'CRS3035RES200mN2033800E4250400';'LAEA200M_N10169E21252';'9.15915';'41.4017';'9.16153';'41.4018';'9.16151';'41.4036';'9.15912';'41.4036';'1677047-1444';'1677047-1434';'1677047-1533';'1677047-1548';'592323-1677047-468919'
'144';'CRS3035RES200mN2033800E4250600';'LAEA200M_N10169E21253';'9.16153';'41.4018';'9.16391';'41.4018';'9.16389';'41.4036';'9.16151';'41.4036';'1677047-1426';'1677047-1424';'1677047-1525';'1677047-1526';'592323-1677047-468919'
'145';'CRS3035RES200mN2033800E4250800';'LAEA200M_N10169E21254';'9.16391';'41.4018';'9.16629';'41.4018';'9.16627';'41.4036';'9.16389';'41.4036';'1677047-1429';'1677047-1441';'1677047-1540';'1677047-1529';'592323-1677047-468919'
'146';'CRS3035RES200mN2033800E4251000';'LAEA200M_N10169E21255';'9.16629';'41.4018';'9.16868';'41.4018';'9.16865';'41.4036';'9.16627';'41.4036';'1677047-1460';'1677047-1485';'1677047-1581';'1677047-1557';'592323-1677047'
'153';'CRS3035RES200mN2033800E4255600';'LAEA200M_N10169E21278';'9.22108';'41.4022';'9.22346';'41.4023';'9.22344';'41.4041';'9.22105';'41.4041';'1677041-376';'1677041-298';'1677041-235';'1677041-324';'1677041'
'155';'CRS3035RES200mN2033800E4256200';'LAEA200M_N10169E21281';'9.22822';'41.4023';'9.23060';'41.4023';'9.23058';'41.4041';'9.22820';'41.4041';'1677041-367';'1677041-451';'1677041-411';'1677041-317';'1677041'
'165';'CRS3035RES200mN2034000E4251000';'LAEA200M_N10170E21255';'9.16627';'41.4036';'9.16865';'41.4036';'9.16863';'41.4054';'9.16624';'41.4054';'1677047-1655';'1677047-1677';'1677047-1774';'1677047-1753';'592323-450868-1677047'
'176';'CRS3035RES200mN2034200E4249800';'LAEA200M_N10171E21249';'9.15195';'41.4053';'9.15433';'41.4053';'9.15431';'41.4071';'9.15193';'41.4071';'1677047-2015';'1677047-1973';'1677047-2066';'1677047-2106';'592323-1954157-609326-468919-1677047'
'183';'CRS3035RES200mN2034200E4251200';'LAEA200M_N10171E21256';'9.16863';'41.4054';'9.17101';'41.4055';'9.17098';'41.4073';'9.16860';'41.4072';'1677047-1898';'450868-1863';'450868-1768';'450868-1807';'592323-450868-1677047'
'186';'CRS3035RES200mN2034200E4252400';'LAEA200M_N10171E21262';'9.18292';'41.4056';'9.18530';'41.4056';'9.18528';'41.4074';'9.18290';'41.4074';'2012509-1108';'2012509-1012';'2012509-1044';'2012509-1138';'2012509-1762535'
'198';'CRS3035RES200mN2034400E4250800';'LAEA200M_N10172E21254';'9.16384';'41.4072';'9.16622';'41.4072';'9.16620';'41.4090';'9.16381';'41.4090';'450868-1902';'450868-1850';'450868-1765';'450868-1820';'592323-450868-1677047-468919'
'199';'CRS3035RES200mN2034400E4251000';'LAEA200M_N10172E21255';'9.16622';'41.4072';'9.16860';'41.4072';'9.16858';'41.4091';'9.16620';'41.4090';'450868-1800';'450868-1756';'450868-1661';'450868-1713';'450868-1677047'
'216';'CRS3035RES200mN2034600E4247400';'LAEA200M_N10173E21237';'9.12332';'41.4087';'9.12570';'41.4087';'9.12567';'41.4105';'9.12329';'41.4105';'609326-1970';'609326-1912';'609326-1831';'609326-1892';'1954157-609326'
'241';'CRS3035RES200mN2034800E4252000';'LAEA200M_N10174E21260';'9.17808';'41.4109';'9.18047';'41.4110';'9.18044';'41.4128';'9.17806';'41.4128';'450868-1183';'450868-1194';'450868-1096';'450868-1078';'450868'
'242';'CRS3035RES200mN2034800E4252200';'LAEA200M_N10174E21261';'9.18047';'41.4110';'9.18285';'41.4110';'9.18282';'41.4128';'9.18044';'41.4128';'450868-1217';'450868-1248';'450868-1155';'450868-1121';'450868-1202301'
'260';'CRS3035RES200mN2035600E4252000';'LAEA200M_N10178E21260';'9.17799';'41.4182';'9.18037';'41.4182';'9.18035';'41.4200';'9.17796';'41.4200';'450868-391';'450868-436';'450868-355';'450868-299';'450868'
'261';'CRS3035RES200mN2035600E4252200';'LAEA200M_N10178E21261';'9.18037';'41.4182';'9.18275';'41.4182';'9.18273';'41.4200';'9.18035';'41.4200';'450868-496';'450868-568';'450868-509';'450868-427';'450868-1202301'
'262';'CRS3035RES200mN2035600E4252400';'LAEA200M_N10178E21262';'9.18275';'41.4182';'9.18513';'41.4182';'9.18511';'41.4200';'9.18273';'41.4200';'450868-647';'450868-731';'1202301-655';'450868-595';'450868-1202301'
'273';'CRS3035RES200mN2035800E4253200';'LAEA200M_N10179E21266';'9.19226';'41.4201';'9.19464';'41.4201';'9.19462';'41.4219';'9.19224';'41.4219';'1202301-666';'1202301-737';'1202301-673';'1202301-595';'1202301'
'284';'CRS3035RES200mN2036200E4253600';'LAEA200M_N10181E21268';'9.19698';'41.4238';'9.19936';'41.4238';'9.19934';'41.4256';'9.19695';'41.4256';'1202301-844';'1202301-943';'1202301-938';'1202301-839';'1202301'
'330';'CRS3035RES200mN2042200E4246600';'LAEA200M_N10211E21233';'9.11281';'41.4773';'9.11519';'41.4773';'9.11516';'41.4791';'9.11278';'41.4791';'2082473-874';'2082473-964';'2082473-1006';'2082473-919';'2082473-1293725'
'339';'CRS3035RES200mN2042400E4246600';'LAEA200M_N10212E21233';'9.11278';'41.4791';'9.11516';'41.4791';'9.11514';'41.4809';'9.11275';'41.4809';'2082473-973';'2082473-1055';'2082473-1111';'2082473-1034';'2082473-1293725'
'340';'CRS3035RES200mN2042400E4246800';'LAEA200M_N10212E21234';'9.11516';'41.4791';'9.11755';'41.4791';'9.11752';'41.4809';'9.11514';'41.4809';'2082473-1140';'1293725-1149';'1293725-1071';'1293725-1138';'2082473-1293725'
'345';'CRS3035RES200mN2042600E4246400';'LAEA200M_N10213E21232';'9.11037';'41.4809';'9.11275';'41.4809';'9.11273';'41.4827';'9.11034';'41.4827';'2082473-968';'2082473-1031';'2082473-1107';'2082473-1048';'2082473-1293725'
'353';'CRS3035RES200mN2042800E4242000';'LAEA200M_N10214E21210';'9.05787';'41.4822';'9.06026';'41.4822';'9.06023';'41.4840';'9.05785';'41.4840';'273352-1669';'273352-1687';'273352-1588';'273352-1570';'273352'
'354';'CRS3035RES200mN2042800E4242200';'LAEA200M_N10214E21211';'9.06026';'41.4822';'9.06264';'41.4823';'9.06262';'41.4841';'9.06023';'41.4840';'273352-1707';'273352-1730';'273352-1635';'273352-1610';'273352'
'357';'CRS3035RES200mN2042800E4250400';'LAEA200M_N10214E21252';'9.15804';'41.4831';'9.16043';'41.4831';'9.16040';'41.4849';'9.15802';'41.4849';'1293725-2819';'1293725-2917';'1293725-2901';'1293725-2803';'2238917-1293725'
'359';'CRS3035RES200mN2042800E4258200';'LAEA200M_N10214E21291';'9.25106';'41.4838';'9.25344';'41.4839';'9.25342';'41.4857';'9.25104';'41.4857';'674868-117';'674868-215';'674868-231';'674868-145';'674868'
'362';'CRS3035RES200mN2043000E4241800';'LAEA200M_N10215E21209';'9.05546';'41.4840';'9.05785';'41.4840';'9.05782';'41.4858';'9.05543';'41.4858';'273352-1452';'273352-1458';'273352-1359';'273352-1352';'273352'
'364';'CRS3035RES200mN2043000E4242200';'LAEA200M_N10215E21211';'9.06023';'41.4840';'9.06262';'41.4841';'9.06259';'41.4859';'9.06020';'41.4858';'273352-1514';'273352-1540';'273352-1446';'273352-1418';'273352'
'367';'CRS3035RES200mN2043000E4247600';'LAEA200M_N10215E21238';'9.12463';'41.4846';'9.12701';'41.4846';'9.12699';'41.4865';'9.12460';'41.4864';'1293725-302';'1293725-316';'1293725-217';'1293725-202';'1293725'
'370';'CRS3035RES200mN2043200E4247200';'LAEA200M_N10216E21236';'9.11983';'41.4864';'9.12222';'41.4864';'9.12219';'41.4882';'9.11981';'41.4882';'1293725-418';'1293725-322';'1293725-306';'1293725-405';'1293725'
'372';'CRS3035RES200mN2043200E4247600';'LAEA200M_N10216E21238';'9.12460';'41.4864';'9.12699';'41.4865';'9.12696';'41.4883';'9.12458';'41.4882';'1293725-101';'1293725-132';'1293725-91';'1293725-8';'1293725'
'373';'CRS3035RES200mN2043200E4247800';'LAEA200M_N10216E21239';'9.12699';'41.4865';'9.12937';'41.4865';'9.12935';'41.4883';'9.12696';'41.4883';'1293725-213';'1293725-305';'1293725-290';'1293725-191';'1293725'
'374';'CRS3035RES200mN2043200E4248000';'LAEA200M_N10216E21240';'9.12937';'41.4865';'9.13176';'41.4865';'9.13173';'41.4883';'9.12935';'41.4883';'1293725-401';'1293725-498';'1293725-489';'1293725-389';'1293725'
'379';'CRS3035RES200mN2043400E4242000';'LAEA200M_N10217E21210';'9.05779';'41.4876';'9.06018';'41.4877';'9.06015';'41.4895';'9.05776';'41.4894';'273352-1074';'273352-1095';'273352-1000';'273352-977';'273352'
'381';'CRS3035RES200mN2043400E4242800';'LAEA200M_N10217E21214';'9.06733';'41.4877';'9.06972';'41.4877';'9.06969';'41.4896';'9.06731';'41.4895';'273352-1462';'273352-1534';'273352-1463';'273352-1392';'273352'
'382';'CRS3035RES200mN2043400E4247600';'LAEA200M_N10217E21238';'9.12458';'41.4882';'9.12696';'41.4883';'9.12694';'41.4901';'9.12455';'41.4900';'1293725-100';'1293725-139';'1293725-224';'1293725-200';'1293725'
'387';'CRS3035RES200mN2043600E4241800';'LAEA200M_N10218E21209';'9.05538';'41.4894';'9.05776';'41.4894';'9.05774';'41.4912';'9.05535';'41.4912';'273352-852';'273352-861';'273352-763';'273352-752';'273352'
'388';'CRS3035RES200mN2043600E4242000';'LAEA200M_N10218E21210';'9.05776';'41.4894';'9.06015';'41.4895';'9.06012';'41.4913';'9.05774';'41.4912';'273352-879';'273352-906';'273352-813';'273352-783';'273352'
'394';'CRS3035RES200mN2043600E4247600';'LAEA200M_N10218E21238';'9.12455';'41.4900';'9.12694';'41.4901';'9.12691';'41.4919';'9.12452';'41.4919';'1293725-302';'1293725-320';'1293725-417';'1293725-407';'1679074-1293725'
'397';'CRS3035RES200mN2043800E4241400';'LAEA200M_N10219E21207';'9.05058';'41.4912';'9.05297';'41.4912';'9.05294';'41.4930';'9.05055';'41.4930';'273352-746';'273352-703';'273352-612';'273352-661';'273352'
'398';'CRS3035RES200mN2043800E4241600';'LAEA200M_N10219E21208';'9.05297';'41.4912';'9.05535';'41.4912';'9.05532';'41.4930';'9.05294';'41.4930';'273352-672';'273352-654';'273352-555';'273352-576';'273352'
'399';'CRS3035RES200mN2043800E4241800';'LAEA200M_N10219E21209';'9.05535';'41.4912';'9.05774';'41.4912';'9.05771';'41.4931';'9.05532';'41.4930';'273352-650';'273352-662';'273352-559';'273352-550';'273352'
'400';'CRS3035RES200mN2043800E4242000';'LAEA200M_N10219E21210';'9.05774';'41.4912';'9.06012';'41.4913';'9.06009';'41.4931';'9.05771';'41.4931';'273352-687';'273352-722';'273352-634';'273352-588';'273352'
'403';'CRS3035RES200mN2043800E4247200';'LAEA200M_N10219E21236';'9.11975';'41.4918';'9.12214';'41.4918';'9.12211';'41.4936';'9.11973';'41.4936';'1293725-646';'1293725-587';'1679074-569';'1679074-618';'1679074-1293725'
'404';'CRS3035RES200mN2043800E4253600';'LAEA200M_N10219E21268';'9.19609';'41.4925';'9.19847';'41.4925';'9.19845';'41.4943';'9.19606';'41.4943';'1719365-3307';'1719365-3241';'1719365-3317';'1719365-3382';'1719365'
'406';'CRS3035RES200mN2044000E4241400';'LAEA200M_N10220E21207';'9.05055';'41.4930';'9.05294';'41.4930';'9.05291';'41.4948';'9.05053';'41.4948';'273352-581';'273352-524';'273352-442';'273352-508';'273352'
'407';'CRS3035RES200mN2044000E4241600';'LAEA200M_N10220E21208';'9.05294';'41.4930';'9.05532';'41.4930';'9.05530';'41.4948';'9.05291';'41.4948';'273352-481';'273352-456';'273352-357';'273352-390';'273352'
'408';'CRS3035RES200mN2044000E4241800';'LAEA200M_N10220E21209';'9.05532';'41.4930';'9.05771';'41.4931';'9.05768';'41.4949';'9.05530';'41.4948';'273352-449';'273352-461';'273352-365';'273352-349';'273352'
'412';'CRS3035RES200mN2044000E4253800';'LAEA200M_N10220E21269';'9.19845';'41.4943';'9.20083';'41.4943';'9.20081';'41.4961';'9.19842';'41.4961';'1719365-3332';'774669-3267';'774669-3223';'774669-3312';'774669-1719365'
'414';'CRS3035RES200mN2044200E4241800';'LAEA200M_N10221E21209';'9.05530';'41.4948';'9.05768';'41.4949';'9.05765';'41.4967';'9.05527';'41.4966';'273352-249';'273352-273';'273352-189';'273352-150';'273352'
'431';'CRS3035RES200mN2044600E4241800';'LAEA200M_N10223E21209';'9.05524';'41.4985';'9.05763';'41.4985';'9.05760';'41.5003';'9.05521';'41.5003';'273352-163';'273352-202';'273352-288';'273352-262';'273352'
'433';'CRS3035RES200mN2044600E4253200';'LAEA200M_N10223E21266';'9.19122';'41.4997';'9.19361';'41.4997';'9.19358';'41.5015';'9.19120';'41.5015';'774669-3711';'774669-3614';'774669-3592';'774669-3688';'1719365-774669'
'434';'CRS3035RES200mN2044600E4253400';'LAEA200M_N10223E21267';'9.19361';'41.4997';'9.19599';'41.4997';'9.19597';'41.5015';'9.19358';'41.5015';'774669-3518';'774669-3423';'774669-3398';'774669-3495';'1719365-774669'
'462';'CRS3035RES200mN2045200E4257800';'LAEA200M_N10226E21289';'9.24602';'41.5055';'9.24841';'41.5055';'9.24839';'41.5073';'9.24600';'41.5073';'774669-1003';'774669-1099';'774669-1079';'774669-980';'774669'
'465';'CRS3035RES200mN2045400E4249400';'LAEA200M_N10227E21247';'9.14579';'41.5065';'9.14818';'41.5065';'9.14815';'41.5083';'9.14577';'41.5083';'2238917-779';'2238917-876';'2238917-898';'2238917-804';'2238917'
'468';'CRS3035RES200mN2045400E4253400';'LAEA200M_N10227E21267';'9.19351';'41.5069';'9.19590';'41.5069';'9.19587';'41.5087';'9.19349';'41.5087';'774669-3408';'774669-3309';'774669-3308';'774669-3407';'774669'
'470';'CRS3035RES200mN2045400E4256600';'LAEA200M_N10227E21283';'9.23169';'41.5072';'9.23407';'41.5072';'9.23405';'41.5090';'9.23166';'41.5090';'774669-239';'774669-149';'774669-131';'774669-229';'774669'
'478';'CRS3035RES200mN2045600E4249200';'LAEA200M_N10228E21246';'9.14338';'41.5083';'9.14577';'41.5083';'9.14574';'41.5101';'9.14336';'41.5101';'2238917-665';'2238917-751';'2238917-802';'2238917-723';'2238917'
'479';'CRS3035RES200mN2045600E4249400';'LAEA200M_N10228E21247';'9.14577';'41.5083';'9.14815';'41.5083';'9.14813';'41.5101';'9.14574';'41.5101';'2238917-840';'2238917-931';'2238917-972';'2238917-886';'2238917'
'481';'CRS3035RES200mN2045600E4249800';'LAEA200M_N10228E21249';'9.15054';'41.5084';'9.15293';'41.5084';'9.15290';'41.5102';'9.15052';'41.5102';'2238917-1215';'2238917-1310';'2238917-1341';'2238917-1248';'2238917'
'488';'CRS3035RES200mN2045600E4256600';'LAEA200M_N10228E21283';'9.23166';'41.5090';'9.23405';'41.5090';'9.23403';'41.5108';'9.23164';'41.5108';'774669-260';'774669-179';'774669-259';'774669-321';'774669'
'494';'CRS3035RES200mN2045800E4238600';'LAEA200M_N10229E21193';'9.01690';'41.5089';'9.01929';'41.5090';'9.01926';'41.5108';'9.01687';'41.5107';'527817-3415';'273352-3345';'273352-3388';'527817-3406';'273352-527817'
'498';'CRS3035RES200mN2045800E4249000';'LAEA200M_N10229E21245';'9.14097';'41.5101';'9.14336';'41.5101';'9.14333';'41.5119';'9.14095';'41.5119';'2238917-663';'2238917-722';'2238917-801';'2238917-748';'2238917'
'500';'CRS3035RES200mN2045800E4249600';'LAEA200M_N10229E21248';'9.14813';'41.5101';'9.15052';'41.5102';'9.15049';'41.5120';'9.14810';'41.5119';'2238917-1109';'2238917-1198';'2238917-1247';'2238917-1161';'2238917'
'502';'CRS3035RES200mN2045800E4253200';'LAEA200M_N10229E21266';'9.19108';'41.5105';'9.19346';'41.5105';'9.19344';'41.5123';'9.19105';'41.5123';'774669-3621';'774669-3522';'774669-3533';'774669-3631';'774669'
'508';'CRS3035RES200mN2046000E4237800';'LAEA200M_N10230E21189';'9.00733';'41.5106';'9.00971';'41.5107';'9.00968';'41.5125';'9.00730';'41.5125';'527817-2607';'527817-2706';'527817-2702';'527817-2603';'527817'
'509';'CRS3035RES200mN2046000E4238000';'LAEA200M_N10230E21190';'9.00971';'41.5107';'9.01210';'41.5107';'9.01207';'41.5125';'9.00968';'41.5125';'527817-2804';'527817-2903';'527817-2900';'527817-2800';'527817'
'510';'CRS3035RES200mN2046000E4238200';'LAEA200M_N10230E21191';'9.01210';'41.5107';'9.01449';'41.5107';'9.01446';'41.5125';'9.01207';'41.5125';'527817-3003';'527817-3102';'527817-3099';'527817-2999';'527817'
'516';'CRS3035RES200mN2046200E4238000';'LAEA200M_N10231E21190';'9.00968';'41.5125';'9.01207';'41.5125';'9.01204';'41.5143';'9.00966';'41.5143';'527817-2800';'527817-2899';'527817-2903';'527817-2804';'527817'
'517';'CRS3035RES200mN2046200E4238200';'LAEA200M_N10231E21191';'9.01207';'41.5125';'9.01446';'41.5125';'9.01443';'41.5143';'9.01204';'41.5143';'527817-2999';'527817-3098';'527817-3101';'527817-3002';'527817'
'518';'CRS3035RES200mN2046200E4238400';'LAEA200M_N10231E21192';'9.01446';'41.5125';'9.01684';'41.5125';'9.01681';'41.5144';'9.01443';'41.5143';'527817-3196';'527817-3295';'527817-3298';'527817-3199';'273352-527817'
'524';'CRS3035RES200mN2046200E4255200';'LAEA200M_N10231E21276';'9.21489';'41.5143';'9.21728';'41.5143';'9.21726';'41.5161';'9.21487';'41.5161';'774669-1775';'774669-1685';'774669-1730';'774669-1819';'774669'
'525';'CRS3035RES200mN2046400E4237800';'LAEA200M_N10232E21189';'9.00727';'41.5143';'9.00966';'41.5143';'9.00963';'41.5161';'9.00724';'41.5161';'527817-2613';'527817-2712';'527817-2723';'527817-2625';'527817'
'527';'CRS3035RES200mN2046400E4238200';'LAEA200M_N10232E21191';'9.01204';'41.5143';'9.01443';'41.5143';'9.01440';'41.5161';'9.01201';'41.5161';'527817-3008';'527817-3108';'527817-3117';'527817-3018';'527817'
'528';'CRS3035RES200mN2046400E4238400';'LAEA200M_N10232E21192';'9.01443';'41.5143';'9.01681';'41.5144';'9.01679';'41.5162';'9.01440';'41.5161';'527817-3207';'527817-3306';'527817-3315';'527817-3216';'527817'
'530';'CRS3035RES200mN2046400E4245200';'LAEA200M_N10232E21226';'9.09556';'41.5151';'9.09794';'41.5151';'9.09792';'41.5169';'9.09553';'41.5169';'1679074-3076';'1679074-3001';'1679074-3068';'1679074-3142';'1679074'
'535';'CRS3035RES200mN2046400E4255800';'LAEA200M_N10232E21279';'9.22203';'41.5162';'9.22442';'41.5162';'9.22439';'41.5180';'9.22201';'41.5180';'774669-1385';'774669-1313';'774669-1386';'774669-1455';'774669'
'541';'CRS3035RES200mN2046600E4245000';'LAEA200M_N10233E21225';'9.09315';'41.5169';'9.09553';'41.5169';'9.09551';'41.5187';'9.09312';'41.5187';'1679074-3359';'1679074-3284';'1679074-3352';'1679074-3425';'1679074'
'542';'CRS3035RES200mN2046600E4245200';'LAEA200M_N10233E21226';'9.09553';'41.5169';'9.09792';'41.5169';'9.09789';'41.5187';'9.09551';'41.5187';'1679074-3210';'1679074-3138';'1679074-3209';'1679074-3279';'1679074'
'556';'CRS3035RES200mN2046800E4245000';'LAEA200M_N10234E21225';'9.09312';'41.5187';'9.09551';'41.5187';'9.09548';'41.5205';'9.09309';'41.5205';'1679074-3493';'1679074-3421';'1679074-3492';'1679074-3563';'1679074'
'557';'CRS3035RES200mN2046800E4245200';'LAEA200M_N10234E21226';'9.09551';'41.5187';'9.09789';'41.5187';'9.09787';'41.5205';'9.09548';'41.5205';'1679074-3350';'1679074-3281';'1679074-3355';'1679074-3423';'1679074'
'559';'CRS3035RES200mN2046800E4248000';'LAEA200M_N10234E21240';'9.12891';'41.5190';'9.13130';'41.5190';'9.13128';'41.5208';'9.12889';'41.5208';'2238917-1674';'2238917-1638';'2238917-1733';'2238917-1767';'2238917'
'573';'CRS3035RES200mN2047000E4249000';'LAEA200M_N10235E21245';'9.14082';'41.5209';'9.14321';'41.5209';'9.14318';'41.5228';'9.14080';'41.5227';'2238917-1792';'2238917-1814';'2238917-1916';'2238917-1890';'2238917'
'579';'CRS3035RES200mN2047000E4258800';'LAEA200M_N10235E21294';'9.25776';'41.5219';'9.26015';'41.5219';'9.26012';'41.5237';'9.25774';'41.5237';'2238743-164';'2238743-263';'2238743-286';'2238743-199';'1649513-1887994-2238743'
'580';'CRS3035RES200mN2047000E4259000';'LAEA200M_N10235E21295';'9.26015';'41.5219';'9.26253';'41.5219';'9.26251';'41.5237';'9.26012';'41.5237';'2238743-363';'2238743-462';'2238743-474';'2238743-379';'1649513-1887994-2238743'
'582';'CRS3035RES200mN2047200E4233800';'LAEA200M_N10236E21169';'8.95943';'41.5210';'8.96181';'41.5210';'8.96178';'41.5228';'8.95939';'41.5228';'527817-1725';'527817-1647';'527817-1712';'527817-1788';'527817'
'583';'CRS3035RES200mN2047200E4244000';'LAEA200M_N10236E21220';'9.08113';'41.5222';'9.08352';'41.5222';'9.08349';'41.5240';'9.08111';'41.5240';'273352-3546';'273352-3608';'273352-3686';'273352-3625';'273352'
'586';'CRS3035RES200mN2047200E4249000';'LAEA200M_N10236E21245';'9.14080';'41.5227';'9.14318';'41.5228';'9.14316';'41.5246';'9.14077';'41.5245';'2238917-1990';'2238917-2015';'2238917-2113';'2238917-2089';'2238917'
'587';'CRS3035RES200mN2047200E4249200';'LAEA200M_N10236E21246';'9.14318';'41.5228';'9.14557';'41.5228';'9.14554';'41.5246';'9.14316';'41.5246';'2238917-2042';'2238917-2071';'2238917-2166';'2238917-2139';'2238917'
'595';'CRS3035RES200mN2047400E4247600';'LAEA200M_N10237E21238';'9.12406';'41.5244';'9.12645';'41.5244';'9.12643';'41.5262';'9.12404';'41.5262';'2238917-2388';'2238917-2346';'2238917-2438';'2238917-2478';'2238917'
'596';'CRS3035RES200mN2047400E4249400';'LAEA200M_N10237E21247';'9.14554';'41.5246';'9.14793';'41.5246';'9.14791';'41.5264';'9.14552';'41.5264';'2238917-2292';'2238917-2326';'2238917-2419';'2238917-2386';'2238917'
'610';'CRS3035RES200mN2047800E4243600';'LAEA200M_N10239E21218';'9.07628';'41.5276';'9.07867';'41.5276';'9.07864';'41.5294';'9.07625';'41.5294';'273352-3834';'273352-3881';'273352-3968';'273352-3922';'273352'
'630';'CRS3035RES200mN2048000E4260800';'LAEA200M_N10240E21304';'9.28152';'41.5311';'9.28391';'41.5311';'9.28388';'41.5329';'9.28150';'41.5329';'775252-757';'775252-792';'775252-701';'775252-661';'775252'
'633';'CRS3035RES200mN2048200E4250600';'LAEA200M_N10241E21253';'9.15977';'41.5319';'9.16215';'41.5320';'9.16213';'41.5338';'9.15974';'41.5337';'2238917-3551';'2238917-3610';'2238917-3693';'2238917-3635';'2238917-1828622-666487'
'649';'CRS3035RES200mN2048400E4261000';'LAEA200M_N10242E21305';'9.28386';'41.5347';'9.28625';'41.5347';'9.28623';'41.5365';'9.28384';'41.5365';'775252-528';'775252-609';'775252-562';'775252-472';'775252'
'664';'CRS3035RES200mN2048800E4259000';'LAEA200M_N10244E21295';'9.25995';'41.5382';'9.26234';'41.5382';'9.26232';'41.5400';'9.25993';'41.5400';'775252-1575';'775252-1476';'775252-1484';'775252-1583';'1649513-1887994-775252-2238743'
'666';'CRS3035RES200mN2048800E4259400';'LAEA200M_N10244E21297';'9.26472';'41.5382';'9.26711';'41.5382';'9.26709';'41.5400';'9.26470';'41.5400';'775252-1178';'775252-1079';'775252-1091';'775252-1189';'775252'
'670';'CRS3035RES200mN2049000E4225200';'LAEA200M_N10245E21126';'8.85651';'41.5362';'8.85890';'41.5362';'8.85886';'41.5380';'8.85648';'41.5380';'264648-446';'264648-434';'264648-334';'264648-350';'264648'
'687';'CRS3035RES200mN2049200E4225000';'LAEA200M_N10246E21125';'8.85409';'41.5379';'8.85648';'41.5380';'8.85644';'41.5398';'8.85406';'41.5397';'264648-389';'264648-313';'264648-248';'264648-337';'264648'
'692';'CRS3035RES200mN2049200E4259200';'LAEA200M_N10246E21296';'9.26229';'41.5418';'9.26468';'41.5418';'9.26466';'41.5436';'9.26227';'41.5436';'775252-1456';'775252-1362';'775252-1400';'775252-1491';'775252'
'694';'CRS3035RES200mN2049200E4260400';'LAEA200M_N10246E21302';'9.27662';'41.5419';'9.27901';'41.5419';'9.27898';'41.5437';'9.27660';'41.5437';'775252-513';'775252-486';'775252-584';'775252-607';'775252'
'701';'CRS3035RES200mN2049400E4224600';'LAEA200M_N10247E21123';'8.84928';'41.5397';'8.85167';'41.5397';'8.85164';'41.5415';'8.84925';'41.5415';'264648-706';'264648-607';'264648-609';'264648-708';'264648'
